report#,token
9,masih
9,belum
9,bisa
9,turun
9,juga
9,.
9,hanya
9,itu
9,harapan
9,penghiburan
9,kami
9,yang
9,mengajar
9,di
9,tempat
9,terpencil
9,dan
9,rawan
9,bencana
9,ini
10,saya
10,ingin
10,bertanya
10,mengenai
10,kegiatan
10,ospek
10,yang
10,ada
10,di
10,perguruan
10,tinggi
10,.
10,mengapa
10,sampai
10,saat
10,ini
10,kegiatan
10,ospek
10,tersebut
10,selalu
10,berhubungan
10,dengan
10,kekerasan
10,","
10,penindasan
10,dan
10,pelecehan
10,terhadap
10,mahasiswa
10,baru
10,yang
10,ingin
10,menuntut
10,ilmu
10,?
10,bahkan
10,di
10,salah
10,satu
10,politeknik
10,negeri
10,yang
10,ada
10,di
10,balikpapan
10,masih
10,ada
10,tindakan-tindakan
10,di
10,dalam
10,kegiatan
10,tersebut
10,yang
10,bersifat
10,menindas
10,","
10,melecehkan
10,serta
10,semena-mena
10,yang
10,dilakukan
10,oleh
10,para
10,senior
10,.
10,jika
10,hal
10,seperti
10,ini
10,terus
10,berlangsung
10,","
10,maka
10,akan
10,banyak
10,mahasiswa
10,yang
10,merasa
10,tertindas
10,dan
10,terintimidasi
10,.
10,bahkan
10,beberapa
10,mahasiswa
10,baru
10,ada
10,yang
10,jatuh
10,sakit
10,dan
10,sampai
10,jatuh
10,pingsan
10,karena
10,selalu
10,dijemur
10,di
10,bawah
10,terik
10,sinar
10,matahari
10,dan
10,kegiatan-kegiatan
10,lainnya
10,.
10,saya
10,mohon
10,agar
10,hal
10,seperti
10,ini
10,segera
10,ditindaklanjuti
10,","
10,agar
10,para
10,siswa
10,dan
10,mahasiswa
10,baru
10,tidak
10,merasa
10,takut
10,saat
10,baru
10,masuk
10,ke
10,sekolah
10,ataupun
10,perguruan
10,tinggi
10,.
10,terima
10,kasih
10,.
11,rumah
11,kami
11,mengalami
11,musibah
11,kebakaran
11,tanggal
11,19
11,september
11,2019.
11,sekitar
11,2
11,minggu
11,lalu
11,kami
11,meminta
11,untuk
11,aliran
11,listrik
11,kembali
11,dipulihkan
11,oleh
11,pln
11,lewat
11,telepon
11,123.
11,tapi
11,sampai
11,saat
11,ini
11,","
11,belum
11,ada
11,satupun
11,petugas
11,yang
11,datang
11,untuk
11,memeriksa
11,.
11,sudah
11,4
11,kali
11,laporan
11,dilayangkan
11,.
11,berikut
11,nomor
11,laporannya
11,:
11,21ccs9s
11,","
11,a1cmxne
11,","
11,e1crzqy
11,","
11,e1csame
11,.
11,mohon
11,bantuan
11,bapak
11,ibu
11,dari
11,pihak
11,terkait
11,untuk
11,kami
11,mendapatkan
11,kejelasan
11,kenapa
11,belum
11,datang
11,juga
11,petugas
11,pln
11,.
12,saya
12,ingin
12,melaporkan
12,","
12,tolong
12,keamanan
12,di
12,seluruh
12,bus
12,transjakarta
12,ditingkatkan
12,karena
12,mulai
12,banyak
12,pencopet
12,yang
12,masuk
12,.
12,terima
12,kasih
12,.
13,selamat
13,pagi
13,","
13,saya
13,mau
13,melaporkan
13,2
13,hal
13,.
13,yang
13,pertama
13,keadaan
13,jalan
13,yang
13,rusak
13,di
13,beberapa
13,di
13,daerah
13,jalan
13,karbela
13,timur
13,","
13,setiabudi
13,","
13,kuningan
13,","
13,dekat
13,rumah
13,sakit
13,mata
13,aini
13,.
13,jalan
13,sudah
13,tidak
13,pernah
13,di
13,asli
13,tetapi
13,palsu
13,sejak
13,10
13,tahun
13,lebih
13,","
13,keadaan
13,jalan
13,sudah
13,rusak
13,","
13,bahkan
13,saya
13,lihat
13,yang
13,di
13,asli
13,tetapi
13,palsu
13,jalan
13,gang2
13,kecil
13,yang
13,belum
13,rusak
13,.
13,hal
13,kedua
13,","
13,tolong
13,dibuatkan
13,bumper
13,speed
13,atau
13,polisi
13,tidur
13,di
13,jalan
13,karbela
13,timur
13,","
13,hal
13,ini
13,dikarenakan
13,banyak
13,kendaraan
13,yang
13,kebut
13,sesuka
13,hati
13,","
13,terutama
13,motor
13,.
13,karena
13,lingkungan
13,banyak
13,pejalan
13,kaki
13,dan
13,anak2
13,.
13,dan
13,sering
13,kali
13,terjadi
13,penjambretan
13,atau
13,copet
13,yang
13,menggunakan
13,motor
13,karena
13,jalan
13,track
13,lurus
13,yang
13,memudahkan
13,penjambret
13,melarikan
13,diri
13,","
13,saya
13,berharap
13,dengan
13,dibuatkan
13,bumper
13,speed
13,dapat
13,mengurangi
13,kendaraan
13,yang
13,kebut
13,dan
13,tindak
13,kejahatan
13,.
13,saya
13,sebagai
13,warga
13,dki
13,jakarta
13,sangat
13,peduli
13,akan
13,hal
13,ini
13,","
13,semoga
13,pemerintah
13,dapat
13,segera
13,merealisasikannya
13,.
13,atas
13,perhatian
13,dan
13,kerja
13,samanya
13,saya
13,ucapkan
13,banyak
13,terima
13,kasih
13,.
14,ada
14,pohon
14,tumbah
14,di
14,dago
14,atas
14,simpang
14,di
14,indomaret
14,jalan
14,dago
14,298
14,bandung
14,kena
14,kabel
14,listrik
14,ketahan
14,mobil
14,truck
15,saya
15,lita
15,","
15,saya
15,salah
15,satu
15,kerabat
15,dari
15,keluarga
15,pelapor
15,atas
15,nama
15,reza
15,desita
15,yang
15,melaporkan
15,bahwa
15,salah
15,satu
15,dari
15,anggota
15,keluarganya
15,melakukan
15,tindak
15,kekerasan
15,yang
15,hampir
15,sering
15,terjadi
15,terhadap
15,keluarga
15,lainnya
15,.
15,informasi
15,yang
15,di
15,dapat
15,keluarga
15,dari
15,saudari
15,reza
15,desita
15,yang
15,di
15,laporkan
15,ini
15,mengalami
15,gangguan
15,sikis
15,dan
15,mental
15,yang
15,terjadi
15,","
15,kejadian
15,yang
15,sering
15,di
15,lakukan
15,yaitu
15,tindak
15,emosional
15,yang
15,tidak
15,stabil
15,sehingga
15,terjadi
15,tindak
15,cekcok
15,dan
15,ada
15,beberapa
15,tindak
15,kekerasan
15,lain
15,seperti
15,pelemparan
15,benda
15,tumpul
15,","
15,perusakan
15,di
15,lingkungan
15,warga
15,dan
15,perusakan
15,barang²
15,di
15,dalam
15,rumah
15,.
15,pihak
15,dari
15,keluarga
15,yang
15,terkait
15,sudah
15,berusaha
15,untuk
15,mencoba
15,mengobati
15,ke
15,pak
15,ustad
15,untuk
15,di
15,ruqyah
15,dan
15,ke
15,puskesmas
15,.
15,untuk
15,berobat
15,kerumah
15,sakit
15,keluarga
15,memiliki
15,kendala
15,terhadap
15,biaya
15,.
15,jadi
15,saudari
15,reza
15,desita
15,memohon
15,untuk
15,bantuan
15,dari
15,pemerintah
15,provinsi
15,terkait
15,untuk
15,bantuan
15,penanganan
15,terhadap
15,saudarinya
15,tersebut
15,.
15,karena
15,ini
15,sudah
15,membuat
15,resah
15,keluarga
15,yang
15,menjadi
15,korban
15,dan
15,lingkungan
15,sekitar
15,.
16,tolong
16,film
16,dilan
16,1991
16,dihentikan
16,penayangan
16,nya
16,karena
16,banyak
16,yang
16,membawa
16,anak
16,kecil
16,di
16,bawah
16,umur
16,untuk
16,menonton
16,.
16,film
16,nya
16,sangat
16,tidak
16,mendidik
16,.
16,adegan
16,kekerasan
16,geng
16,motor
16,serang
16,","
16,cium
16,perempuan
16,secara
16,paksa
16,","
16,mesra
16,mesraan
16,bukan
16,muhrim
16,.
17,saya
17,meminjam
17,uang
17,secara
17,online
17,di
17,aplikasi
17,dana
17,cepat
17,","
17,bagian
17,petir
17,dompet
17,dan
17,dana
17,pop
17,.
17,jangka
17,waktu
17,pinjaman
17,sesuai
17,perjanjian
17,di
17,aplikasi
17,7
17,hari
17,.
17,namun
17,yang
17,menjadi
17,masalah
17,:
17,1.
17,saat
17,pinjaman
17,memasuki
17,hari
17,ke
17,5
17,","
17,debt
17,collector
17,sdh
17,menangih
17,melalui
17,telpon
17,dengan
17,berbagai
17,ancaman
17,","
17,kekerasan
17,","
17,kata-kata
17,kasar
17,dan
17,tidak
17,sopan
17,.
17,alasan
17,pihak
17,debt
17,colector
17,bahwa
17,jangka
17,waktu
17,pinjaman
17,hanya
17,5
17,hari
17,","
17,padahal
17,sesuai
17,perjanjian
17,adalah
17,7
17,hari
17,sebagaimana
17,tertera
17,di
17,aplikasi
17,.
17,2.
17,saat
17,saya
17,terlambat
17,membayar
17,pinjaman
17,1
17,hari
17,","
17,identitas
17,saya
17,sdh
17,dipublikasikan
17,ke
17,kontak
17,hp
17,di
17,media
17,whatsapp
17,","
17,padahal
17,saya
17,sdh
17,berusaha
17,mengajukan
17,proses
17,negosiasi
17,hutang
17,","
17,namun
17,nomor
17,telepon
17,cs
17,yang
17,tercantum
17,di
17,aplikasi
17,tidak
17,aktif
17,","
17,meskipun
17,sdh
17,dicoba
17,kembali
17,di
17,hari
17,dan
17,jam
17,yang
17,berbeda
17,3.
17,besaran
17,bunga
17,yang
17,tercantum
17,di
17,aplikasi
17,tidak
17,sama
17,dengan
17,jumlah
17,tagihan
17,yang
17,muncul
17,di
17,aplikasi
17,setelah
17,proses
17,transfer
17,uang
17,ke
17,rekening
17,.
17,4.
17,setelah
17,saya
17,telusuri
17,","
17,ternyata
17,aplikasi
17,dana
17,cepat
17,adalah
17,pembiayaan
17,ilegal
17,","
17,tidak
17,terdaftar
17,di
17,ojk
17,dan
17,afpi
17,.
17,memohon
17,dengan
17,sangat
17,kepada
17,pihak
17,ojk
17,untuk
17,memblokir
17,aplikasi
17,tersebut
17,","
17,dan
17,menghapus
17,seluruh
17,data2
17,kreditur
17,di
17,aplikasi
17,tersebut
17,.
17,terima
17,kasih
18,kepada
18,dinas
18,lingkungan
18,hidup
18,kabupaten
18,ponorogo
18,melaporkan
18,","
18,adanya
18,pohon
18,tumbang
18,di
18,jalan
18,.
18,raden
18,saleh
18,","
18,kecamatan
18,.
18,ponorogo
18,","
18,kabupaten
18,.
18,ponorogo
18,.
18,mohon
18,segera
18,ditangani
18,terimakasih~
19,mengingat
19,semakin
19,banyaknya
19,pemberitaan
19,di
19,media
19,massa
19,tentang
19,kekerasan
19,seksual
19,pada
19,anak
19,","
19,ini
19,salah
19,satunya
19,adalah
19,akibat
19,dari
19,sistem
19,perekrutan
19,tenaga
19,pendidik
19,yang
19,kurang
19,memiliki
19,pengalaman
19,dalam
19,mendidik
19,anak
19,","
19,ditambah
19,lagi
19,orangtua
19,yang
19,berlomba-lomba
19,mengumpulkan
19,materi
19,.
19,oleh
19,sebab
19,itu
19,sudah
19,selayaknya
19,kementerian
19,pendidikan
19,dan
19,kebudayaan
19,betul-betul
19,menyeleksi
19,calon
19,ptk
19,","
19,karena
19,sudah
19,bukan
19,rahasia
19,lagi
19,setiap
19,ada
19,perekrutan
19,tenaga
19,pendidik
19,selalu
19,ada
19,indikasi
19,main
19,di
19,belakang
19,layar
19,.
19,bagaimana
19,pendidikan
19,di
19,indonesia
19,akan
19,maju
19,jika
19,dalam
19,perekrutan
19,masih
19,ada
19,kkn
19,.
19,guru
19,jangan
19,hanya
19,mengejar
19,materi
19,tanpa
19,peduli
19,moral
19,dan
19,spritual
19,peserta
19,didik
19,.
19,mohon
19,menjadi
19,perhatian
19,.
20,tabe
20,ada
20,tadi
20,keluhan
20,masyarakat
20,tekolabbua
20,ada
20,pohon
20,tumbang
20,yang
20,membahayakan
20,warga
20,di
20,karenakan
20,adanya
20,kabel
20,pln
20,di
20,area
20,sekitar
20,pohon
20,","
20,untuk
20,dinas
20,terkait
20,mohon
20,segera
20,menindak
20,lanjuti
21,mohon
21,bantuannya
21,pak
21,polisi
21,wilayah
21,tanjung
21,priok
21,jakarta
21,utara..
21,daerah
21,tempat
21,pemukiman
21,saya
21,di
21,warakas
21,gang
21,21
21,sudah
21,2
21,malam
21,belakangan
21,ini
21,sering
21,terjadi
21,tawuran..
21,tawuran
21,sudah
21,menggunakan
21,senjata
21,tajam
21,dan
21,bom
21,molotov..
21,rumah
21,saya
21,sudah
21,terkena
21,sasarannya..
21,salah
21,satu
21,rolling
21,door
21,saya
21,tersabet
21,senjata
21,tajam
21,.
22,kepada
22,yang
22,terhormat
22,pemerintah
22,provinsi
22,dki
22,jakarta
22,.
22,apalagi
22,yang
22,kurang
22,jelas/lenkap
22,dari
22,laporan
22,terdahulu
22,kalau
22,tidak
22,salah
22,hal
22,dimaksud
22,sudah
22,tiga
22,kali
22,saya
22,laporkan
22,","
22,kita
22,semua
22,sepakat
22,tidak
22,menghendaki
22,ada
22,korban
22,dulu
22,baru
22,bertindak.yang
22,dilaporkan
22,adalah
22,lima
22,pohon
22,tumbuh
22,menjorong
22,ke
22,badan
22,jalan
22,sehingga
22,membahayakan
22,kepada
22,masyarakat
22,pengendara
22,mobil
22,di
22,jalan
22,raya
22,ceger
22,kecamatan
22,cipayung
22,jaktim
22,.
22,terima
22,kasih
23,mohon
23,uang
23,dari
23,asuransi
23,jasaraharja
23,yang
23,akan
23,diberikan
23,kepada
23,korban
23,kecelakaan
23,","
23,langsung
23,ke
23,rekening
23,atas
23,nama
23,korban
23,kecelakaan
23,","
23,tidak
23,melalui
23,perantara
23,.
24,22
24,oktober
24,2019
24,kepada
24,yang
24,terhormat
24,.
24,bapak
24,walikota
24,p.
24,siantar
24,lapor
24,pak
24,","
24,disekitar
24,tempat
24,tinggal
24,saya
24,di
24,sekitaran
24,paman
24,saya
24,dekat
24,belakang
24,kebun
24,binatang
24,siantar
24,banyak
24,sekali
24,dari
24,mulai
24,anak
24,smp
24,bahkan
24,sampai
24,pemuda
24,berumur
24,yang
24,pakai
24,dan
24,ketergantungan
24,narkotika
24,","
24,psikotropika
24,","
24,dan
24,obat
24,terlarang
24,.
24,akhirnya
24,keluarga
24,dan
24,masyarakat
24,resah
24,karena
24,kalau
24,mereka
24,sudah
24,tidak
24,ada
24,duit
24,pemakai
24,narkotika
24,","
24,psikotropika
24,","
24,dan
24,obat
24,terlarang
24,itu
24,mencuri
24,ke
24,mana
24,saja
24,","
24,apa
24,saja
24,yang
24,bisa
24,dijual
24,termasuk
24,kejahatan
24,pencurian
24,kendaraan
24,bermotor
24,dengan
24,kekerasan
24,.
24,mohon
24,pak
24,agar
24,ada
24,kordinasi
24,dengan
24,polsek
24,setempat
24,guna
24,razia
24,terkordinir
24,narkotika
24,","
24,psikotropika
24,","
24,dan
24,obat
24,terlarang
24,ini
24,","
24,sudah
24,siaga
24,1
24,ini
24,pak
24,karena
24,mewabah
24,ke
24,berbagai
24,skala
24,umur
24,dan
24,kalangan
24,.
24,terima
24,kasih
24,.
24,-
24,peduli
24,anak
24,bangsa
24,-
25,ke
25,pohon-pohon
25,rawan
25,tumbang
25,lainnya
25,di
25,jalan
25,.
25,skanda
25,","
25,kelurahan
25,.
25,lb
25,.
25,siliwangi
25,","
25,kecamatan
25,.
25,coblong
25,","
25,kota
25,bandung
25,","
25,jawa
25,baratkepada
25,dinas
25,perumahan
25,dan
25,kawasan
25,permukiman
25,","
25,pertanahan
25,dan
25,pertamanan
25,kota
25,bandung
25,jawa
25,barat
25,","
25,pasca
25,adanya
25,pohon
25,tumbang
25,di
25,lokasi
25,berikut
25,mohon
25,dice
26,kepada
26,yang
26,terhormat
26,.
26,pemerintah
26,provinsi
26,dki
26,jakarta
26,prihal
26,bus
26,feeder
26,senen
26,lebak
26,bulus
26,pagi
26,ini
26,.
26,pagi
26,ini
26,saya
26,merasakan
26,sangat
26,lamanya
26,menunggu
26,bus
26,feeder
26,ini
26,","
26,saya
26,menunggu
26,di
26,halte
26,bus
26,deplu
26,(
26,pejambon
26,)
26,","
26,saya
26,sampai
26,halte
26,jam
26,7.40
26,","
26,jam
26,8.00
26,bus
26,feeder
26,datang
26,sudah
26,penuh
26,dan
26,hanya
26,perbolehkan
26,1
26,penumpang
26,saja
26,yang
26,naik
26,","
26,saya
26,menunggu
26,lagi
26,","
26,15
26,menit
26,kemudian
26,tidak
26,ada
26,bus
26,feeder
26,yang
26,lewat
26,.
26,akhirnya
26,saya
26,memutuskan
26,naik
26,kopaja
26,dengan
26,resiko
26,copet
26,","
26,penumpang
26,di
26,oper
26,seenaknya
26,dan
26,``
26,ngetem
26,''
26,semaunya
26,","
26,iya
26,benar
26,saja
26,sampai
26,di
26,cikini
26,saya
26,di
26,oper
26,dan
26,harus
26,menunngu
26,bisnya
26,``
26,ngetem
26,''
26,cari
26,penumpang
26,.
26,saya
26,lihat
26,sudah
26,seharusnya
26,rute
26,ini
26,bisnya
26,ditambah
26,karena
26,peminatnya
26,banyak
26,sekali
26,","
26,sehingga
26,bisa
26,minimal
26,bis
26,lewat
26,per
26,2
26,atau
26,3
26,menit
26,sekali
26,.
26,sekarang
26,semakin
26,susah
26,mendapat
26,bis
26,feeder
26,yang
26,tidak
26,penuh
26,sesak
26,.
26,terima
26,kasih
27,jumat
27,(
27,10/1/14
27,)
27,yang
27,lalu
27,","
27,karena
27,tidak
27,ada
27,pilihan
27,bus
27,lagi
27,(
27,karena
27,jumlah
27,bus
27,ac
27,106
27,tidak
27,sebanding
27,dengan
27,jumlah
27,calon
27,penumpang
27,)
27,dan
27,cuaca
27,yang
27,buruk
27,","
27,saya
27,terpaksa
27,naik
27,bus
27,p157
27,.
27,sudah
27,lama
27,saya
27,menghindari
27,naik
27,bus
27,dengan
27,rute
27,terminal
27,senen
27,-
27,terminal
27,poris
27,p/tangerang
27,itu
27,lantaran
27,meski
27,ongkosnya
27,hanya
27,rp3.500
27,","
27,bus
27,tersebut
27,jorok
27,dan
27,banyak
27,pengamen
27,serta
27,peminta-mintanya
27,.
27,setelah
27,bus
27,memasuki
27,jalan
27,hasyim
27,ashari
27,","
27,seorang
27,pria
27,datang
27,ke
27,depan
27,.
27,tubuhnya
27,kurus
27,dengan
27,tinggi
27,sedang
27,.
27,kulitnya
27,hitam
27,dan
27,bertato
27,.
27,sayangnya
27,ia
27,bertopi
27,sehingga
27,rambutnya
27,tidak
27,terlihat
27,.
27,ia
27,mulai
27,``
27,berpidato
27,''
27,bahwa
27,ia
27,perlu
27,bantuan
27,dan
27,tidak
27,membutuhkan
27,pandangan
27,angkuh
27,dari
27,para
27,penumpang
27,.
27,selesai
27,berpidato
27,","
27,ia
27,mulai
27,mengulurkan
27,tangan
27,kepada
27,penumpang
27,","
27,satu
27,demi
27,satu
27,.
27,rupanya
27,tidak
27,ada
27,yang
27,memberinya
27,uang
27,.
27,dan
27,karena
27,itu
27,","
27,ia
27,menjalankan
27,rencana
27,b-nya
27,.
27,ia
27,kembali
27,``
27,berpidato
27,''
27,.
27,kali
27,ini
27,dengan
27,nada
27,marah
27,dan
27,mulai
27,membentak-bentak
27,.
27,selesai
27,berpidato
27,","
27,ia
27,mengulurkan
27,tangan
27,lagi
27,.
27,bedanya
27,","
27,ia
27,memilih
27,penumpang
27,perempuan
27,dan
27,berdiri
27,di
27,depan
27,orang
27,yang
27,ia
27,minta
27,3-5
27,menit
27,.
27,``
27,saya
27,tidak
27,butuh
27,maaf
27,","
27,''
27,katanya
27,ketus
27,saat
27,perempuan
27,yang
27,dimintai
27,hanya
27,menganggukkan
27,kepala
27,.
27,intimidasi
27,serupa
27,ia
27,pakai
27,terus
27,sampai
27,tiba
27,giliran
27,saya
27,.
27,bagi
27,saya
27,","
27,pengalaman
27,tersebut
27,membuat
27,saya
27,takut
27,sekaligus
27,marah
27,dalam
27,hati
27,.
27,saya
27,takut
27,kalau
27,dia
27,saya
27,lawan
27,","
27,dia
27,akan
27,pakai
27,senjata
27,tajam
27,.
27,saya
27,marah
27,karena
27,perbuatannya
27,adalah
27,bentuk
27,premanisme
27,.
27,caranya
27,meminta
27,dengan
27,berdiri
27,3-5
27,menit
27,di
27,hadapan
27,penumpang
27,perempuan
27,serta
27,mencolek-colek
27,jaket
27,yang
27,dimintai
27,sangat
27,intimidatif
27,.
27,dan
27,terus
27,terang
27,","
27,saya
27,tidak
27,sudi
27,memberi
27,uang
27,","
27,meskipun
27,hanya
27,rp500
27,kepada
27,orang
27,yang
27,tidak
27,mau
27,bekerja
27,secara
27,halal
27,dan
27,bahkan
27,memeras
27,orang
27,lain
27,.
27,melalui
27,laporan
27,ini
27,","
27,saya
27,meminta
27,pemerintah
27,daerah
27,agar
27,dapat
27,berkoordinasi
27,dengan
27,aparat
27,keamanan
27,untuk
27,bertindak
27,tegas
27,","
27,menangkap
27,preman-preman
27,(
27,anak-anak
27,jalanan
27,)
27,yang
27,berkeliaran
27,di
27,dalam
27,bus
27,kota
27,","
27,baik
27,itu
27,bus
27,ekonomi
27,maupun
27,bus
27,ac
27,.
27,demi
27,mencapai
27,misi
27,jakarta
27,yang
27,lebih
27,baik
27,dan
27,misi
27,mengajak
27,semua
27,warga
27,jakarta
27,naik
27,transportasi
27,massal
27,.
27,terima
27,kasih
27,.
28,terjadi
28,pelecehan
28,seksual
28,di
28,krl
28,commuterline
28,jurusan
28,manggarai-bekasi
28,yang
28,dilakukan
28,oleh
28,seorang
28,pria
28,kepada
28,seorang
28,wanita
28,yang
28,sedang
28,tertidur
28,pada
28,tanggal
28,22
28,november
28,2017
28,sekitar
28,pukul
28,20:00
28,wib
28,sang
28,pelaku
28,pura2
28,tertidur
28,dengan
28,tangan
28,di
28,tutupi
28,jaket
28,tapi
28,tangany
28,bergerilya
28,ke
28,dada
28,wanita
28,yang
28,sedang
28,tertidur
28,pulas
28,tersebut
28,...
28,mohon
28,kepada
28,pihak
28,terkait
28,khusus
28,nya
28,pt
28,kai
28,agar
28,menindak
28,dan
28,dicari
28,oknum
28,pelaku
28,nya..saya
28,takut
28,jika
28,ini
28,dibiarkan
28,ini
28,akan
28,menjadi
28,hal
28,yang
28,biasa
28,dan
28,dianggap
28,lumrah
29,kepada
29,yang
29,terhormat
29,.
29,pemerintah
29,provinsi
29,dki
29,jakarta
29,.
29,di
29,wilayah
29,jalan
29,karang
29,anyar
29,raya
29,rw
29,01
29,dan
29,rw
29,02
29,kelurahan
29,karang
29,anyar
29,kecamatan
29,sawah
