,report,institute,category
2,"Pembakaran dan pembuangan sampah di pinggir sungai depan rumah kami sangat mengganggu dan sudah berlangsung selama berbulan-bulan menyebabkan sungai tersumbat dan asapnya setiap hari sangat mengganggu, wilayah depan rumah kami jadi tempat pembuangan sampah oleh warga sekitar dikarenakan oknum tersebut setiap hari menumpuk sampah dan membakar sampah disitu, sudah beberapa kali ditegur secara kekeluargaan tapi tidak digubris dan malah semakin parah, wilayah depan rumah jadi kotor dan bau, terutama sungai kotor sekali bisa bisa nanti menimbulkan banjir, karena sampah berceceran ke sungai. menimbulkan masalah lingkungan berupa pencemaran sampah dan polusi udara karena adanya pembakaran sampah. setiap harinya tumpukan sampah semakin banyak dan berpotensi menimbulkan masalah lingkungan yang lebih parah.

pelaku pembakaran dan penumpukkan sampah secara liar ini tinggal di jalur hijau dan sangat mengganggu.

lokasi kami di jalan veteran no 46 (seberang sehat subur)",Dinas Lingkungan Hidup,  Pencemaran Lingkungan
3,"Assalamualaikum wrwb,
saya aka djakaria, salah satu warga yg merasa sangat dirugikan dengan adanya perbaikan jalan di jln raya bakom ciawi kabupaten bogor, karena akibat perbaikan jalan (sdh selesai satu bln lbh) tersebut mengakibatkan saluran air rusak parah dan di tinggalkan begitu saja tanpa ada tanggung jawab untuk memperbaiki, akibat hal tersebut juga ada tiang listrik pinggir jln raya yg goyah, mohon perhatian kepada bapak menteri pupr untuk menyikapi hal tersebut. setiap hujan air banjir membawa sampah dan air masuk kedalam area gudang saya.
demikian saya sampaikan laporan ini agar segera di respon karena sangat menganggu sekali, terima kasih.

salam,
aka
081238151501",Dinas Pekerjaan Umum dan Penataan Ruang,  Kritik dan Saran untuk SP4N-LAPOR!
4,"Asalamualaikum wrwb... Dengan hormat, saya mewakili masyarakat desa baru kecamatan batu benawa meminta kepada pemda hst/yang berwenang untuk mengaudit keuangan desa baru/waki baik dari add maupun dari bantuan korban banjir bandang yang di duga dimanfaatkan oleh oknum untuk kepentingan pribadi, dan tidak transparan, mohon segera di tindak lanjuti agar berita/simpang siur di masyarakat tidak terjadi yang tidak di inginkan, terimakasih",Dinas Pemberdayaan Masyarakat dan Desa,  Topik Lainnya
5,"RaDengan ini kami kembali mengajukan permohonan kepada bapak ibu aparat yang bertugas mengatasi sampah di banjarmasin ... untuk kesekian kalinya kami menyampaikan bahwa saluran air di tps cemara tersumbat sampah sehingga apabila hujan maka rumah kami tergenang banjir..... tolong lah bekerja dengan hati.... kami sudah merelakan udara bersih kami menjadi bau akibat sampah yang non stop.... sekarang di tambah lagi apabila hujan menjadi banjir.... apakah pemerintah tidak punya kemampuan untuk memperbaiki saluran air itu? tidak adakah orang pintar dan punya hati disana.....astagfirullah..... ini hanya perlu perbaikan sedikit, hanya beberapa meter saja.... tapi kalo tak punya hati sedikit pun akan menjadi berat..... tolong admin jangan melulu diarsiplaporan kami ini",Dinas Lingkungan Hidup,  Topik Lainnya
6,"Kepada yth pemerintah kab bogor ,

perkenalkan saya agung ponco wibowo alamat perumahan alam cilebut permai rt 10 rw 07 batu gede sukaraja kab bogor, memohon bantuan terkait dari bencana banjir yang terjadi di lingkungan kami dimana saat hujan deras 1-2 jam banjir selelau terjadi ,hal ini dikarenakan turab / tanggul yg merupakan tanggung jawab dari pengembang pt kondang tidak dilakukan,kami berupaya untuk menghubungi direktur dari pengembang tsb namun nihil utk hasilnya hingga hari ini,kami juga sudah berupaya membangun sodetan ,membeli pompa air dan menanggul beberapa tanggul tanah yg longsor dengan tanggul batu namun dikarenakan keterbatasan dana banjir masih belum bisa ditangani dan sebagai informasi kami pun melapor kan masalah banjir ini ke desa dalam musrembang namun dikarenakan blm adanya pelimpahan dokumen   ke pemda maka hal ini jg masih menjadi kendala utk mengatasi masalah banjir 

berharap dengan sangat kami mendapatkan bantuan dari pemerintah kab.bogor

noted banjir dilingkungan kami 1-2 meter 
laporan ini adalah laporan terkini banjir pada tanggal 8 mei 2021
agung ponco wibowo
warga perumahan alam cilebut permai blok b3 no 24
0813 824 82685",Badan Penanggulangan Bencana Daerah,  Penanggulangan Bencana
7,"Pdam tirta lihou kec. girsang sipangan bolon tidak menanggapi keluhan masyarakat atas kurangnya pasokan air bersih dalam beberapa bulan terakhir.

khususnya saat banjir bandang yg terjadi pada 13 mei 2021, yg memutuskan saluran air untuk supply ke masyarakat jalan anggarajim parapat. bukan hanya untuk kebutuhan sehari-hari, air bersih juga sangat dibutuhkan dalam penanganan pasca banjir.

mohon ditanggapi sebagai perusahaan daerah secara profesional.",PDAM Tirta Lihou,  Topik Lainnya
8,"Saya melihat banyaknya jalan rusak di daerah pasar gadang, dan juga kualitas atau kondisi pasar gadang yang semakin hari semakin tidak membaik, dari 2 hal tersebut berakibat tingkat kemacetan di pasar gadang yang semakin tinggi, serta banjir ketika ada hujan turun. mohon untuk dapat ditindak lanjuti, 1. pembangunan pasar gadang baru/renovasi, 2. perbaikan jalan di area pasar gadang 3. membuat parkiran khusus penjual/pembeli","Dinas Pekerjaan Umum, Penataan Ruang, Perumahan dan Kawasan Permukiman Kota Malang",  Topik Lainnya
9,"Dari info yang beredar ada pencairan dana dari Pemprov Jabar ke Pemda Bekasi untuk kegiatan normalisasi kali Jambe di wilayah Kelurahan Jatimulya Kecamatan Tambun Selatan, seandainya info tersebut valid saya sangat berharap kegiatan tersebut secepatnya dilaksanakan mengingat di saat musim penghujan pemukiman penduduk kampung, perumahan Mutiara Gading Timur, komplek Jatimulya Regency dan perumahan lain di sepanjang kali tersebut terkena dampak banjir yang sangat menyusahkan/merugikan warga/masyarakat yang bermukim di area tersebut.
Sehubungan dengan hal diatas saya mengharapkan Pemda Bekasi segera mengeksekusi program normalisasi tersebut sehingga akan membawa dampak positif bagi warga masyarakat di sepanjang kali Jambe.
Terima kasih",Dinas Lingkungan Hidup Kabupaten Bekasi,  SP4N-LAPOR!
0,"Yth, 
bpk wako padang
dan dinas instansi terkait

dengan hormat,
dengan ini kami sampaikan bahwa ada penimbunan parit aliran air yang dilakukan oleh warga secara individu. sehingg mengakibatkan jalan banjir dan tidak kunjung surut. sebelumnya sudah diketahui dan ditanggapi rt/rw setempat namun belum ada solusi.
mohon kiranya bantuan pemda/pemko menindak lanjuti agar saluran bisa difungsikan normal kembali.
lokasi; 
jl.mawar, ( mawar ujung)
kelurahan dadok tunggul hitam
kecamatan: koto tangah
kota : padang
wasallam dan terimakasih",Kecamatan Koto Tangah Kota Padang,  Drainase (Gorong-Gorong/Parit)
1,"Kecamatan Rajeg Kabupaten Tangerang, sebagai subjek pemda kab. Tangerang belum menunjukkan upaya nyata atas realisasi komitmen hal-hal dibawah ini:

1) belum ada tindakan nyata atas lokasi yang menjadi faktor penyebab meluapnya air ke wilayah perumahan griya artha rajeg 4 sampai dengan hari ini. 
2) hasil dari menginventarisir lokus drainage yang dilakukan pihak kecamatan atas penyebab utama meluapnya air karena volume saluran yang berukuran kecil belum ada upaya atas pelebaran volumenya saluran sampai dengan hari ini. 
3) usulan atas pelakasnaan normalsiasi sungai dengan cara mengeruk dan membersihkan pohon2 disepanjang sungai serta memasang turapnya yang dimasukan kedalam kegiatan musrenbang ta.2020/2021 dengan berkoordiansi dengan skpd dlhk dan dinas bina marga dan pengairan kabupaten tangerang sebagai upaya tindak lanjut belum ada hasil apapun hingga di tahun 2021 ini. Rasanya hanya menjadi wacana tanpa realisasi. 

Mohon kesediaanya seluruh pemangku jabatan, asn pemda kab. Tangerang, kec. Rajeg, dlhk, bina marga dan pengairan untuk segera melakukan tindakan realisasi atas wacana tersebut. Sebab hal ini sangatlah penting bagi kelangsungan pemukiman yang ramah bagi ibu hamil, bayi, anak dan para penduduk yang telah menjadi korban atas ketidak bertanggungjawaban pihak developer yang telah menyerah terimakan pembangunan dengan melepaskan tanggung jawab dari banjir sebagaimana janji dalam promosi dan brosur.",Kecamatan Rajeg Kabupaten Tangerang,  Drainase (Gorong-Gorong/Parit)
2,"""laporhendi"" sugeng sonten bapak. saya dimas karebet warga rt 4 rw v kel. ngemplak simongan. 
ijin menyampaikan. bahwa setiap hujan deras. di tempat sayaselalu banjir. apakah tidak ada penanganan yang menyeluruh selain pengerukan saluran di sekitar sam po kong. 
terima kasih 
salam sehat",Dinas Pekerjaan Umum Kota Semarang,  Banjir
3,"Got depan apotek daerah bampet kalo hujan meluap ke pemukiman warga,... kendal beribadat bagaimana mohon solusinya, agar pemukiman warga tidak kebanjiran karena gorong2 atau selokan tidak berfungsi maksimal, mohon solusi kami warga kecil, terimakasih",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Kendal,  Infrastruktur Pendukung
4,"jaLan utara pu, rsud soewondo ke utara rusak berat dan selalu banjir krn jalannya rendah sekali, sungainya membludak airnya dan mengalir ke jalankendal bapak bupati yang sangat di muliakan allah...saya warga bandengan mengeluhkan jalan yang rusak parah dan selalu tergenang air rob (dari sungai), mohon diperhatikan bapak bupati,kami juga ingin seperti yang lain merasakan infrastruktur jalan yang baik terimakasih",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Kendal,  Infrastruktur Jalan
5,"Banjarmasin, tolong median jalan di km 4 yang sempat dihancur karena banjir kemarin dibangun kembali seperti awal karena kondisinya membahayakan penggunajalan, mungkin bisa dibangun dengan bagian bawah median dikasih rongga agar air bisa turun jika ada banjir kembali. terima kasih",Dinas Pekerjaan Umum dan Penataan Ruang Provinsi Kalimantan Selatan,  Infrastruktur Jalan
6,Laporhendi ada warga a.n. bpk margo yg egois. jln dpn rmhnya ditinggikan spy gak kebanjiran tp warga lain jd korban selalu banjirlaporhendi alamat rmh bpk margo di perum plamongan hijau kota semarang (depan rmh pompa polder plamongan hijau),Kecamatan Pedurungan Kota Semarang,  Infrastruktur Jalan
7,"Mohon perhatian pihak yg terkait, april 18 lalu sudah terjadi jalanan yang sebelumnya tidak pernah banjir saat ini banjir dan mengakibatkan kemacetan serta bencana di bangunan sekitar kampung sengon jl raya sawangan. ditenggarai hal ini diakibatkan oleh tersumbatnya saluran pembuangan dari got menuju kali. sudah beberapa kali dilaporkan via media namun tidak ada tindakan lebih lanjut. hari ini kembali hujan deras dan kemungkinan banjir akan terulang (sudah masuk halaman rumah) tolong dijadikan prioritas",Dinas Pekerjaan Umum dan Penataan Ruang Kota Depok,  Drainase (Gorong-Gorong/Parit)
8,"Assalammu'alaikum wr.wb.
.
saya mewakili korban terdampak banjir yang berlokasi di : jl.raya puncak kp.pasanggrahan rt 03 rw 05 kelurahan cisarua kec.cisarua kab.bogor (gg.nyi geulis, samping royal safari garden hotel, seberang pasar cisarua), dengan ini meminta bantuan kepada pemerintah daerah maupun pusat untuk dicarikan solusi agar kampung kami tidak lagi terdampak banjir dikala hujan deras turun.
.
hasil identifikasi masalah banjir tgl 8 okt 2019, akibat tdk ada solusi di permasalahan inti maka terjadi lg tgl 21 sept 2020, dan terjadi lg tgl 11 april 2021.

akibat rusaknya saluran air di pasar lama cisarua, yang mana diatasnya berdiri bangunan liar (pkl) yang diduga terjadi jual beli/sewa/pungutan lainnya tanpa dasar hukum (pungli) dan dirusaknya saluran air pinggir jalan raya puncak (oleh perusahaan), mengakibatkan dikala hujan, air yang seharusnya mengalir ke saluran tersebut jadi masuk ke kampung kami.
salah satu majelis, dimana tempat anak-anak kami belajar mengaji dan dipergunakan pula untuk shalat sunnat tarawih (kaum wanita) adalah salah satu dari lebih 40 rumah yang terdampak banjir. pada tanggal 22 april 2021 sekitar pukul 19.30 - 20.00 wib hujan deras kembali turun, sehingga berdampak terhadap kekhusyukan dalam melaksanakan ibadah tarawih. imam sampai salah membaca surat, dan jamaah (wanita) panik karena khawatir majelis tempat mereka shalat tarawih dan rumah tempat tinggal mereka kembali tergenang banjir.
.
saya berharap pemerintah daerah maupun pusat mampu menjadi penolong kami, agar kami tenang dan tidak khawatir dikala turunnya rezeki dari langit tsb (hujan).
insya allah saya bertanggungjawab atas informasi yang saya sampaikan ini. semoga kita semua senantiasa ada dalam lindungan allah swt. aamiin.
wassalamu'alaikum wr.wb.
.
dudi abdi negara
087742014700",Dinas Pekerjaan Umum dan Penataan Ruang,  Drainase (Gorong-Gorong/Parit)
9,Laporhendi banjir wilayah sidomukti tlogosari mohon pintu pintu air di cek,Dinas Pekerjaan Umum Kota Semarang,  Banjir
0,"Tidak ada saluran air / parit di jl. siak ii gg surya indah, tampan, payung sekaki, pekanbaru, riau, 28292.
mohon bantuan instansi terkait untuk pembuatan saluran air / parit karena setiap hujan rumah penduduk kebanjiran",Dinas Pekerjaan Umum dan Penataan Ruang Kota Pekanbaru,  Drainase (Gorong-Gorong/Parit)
1,"Kepada Bapak/Ibu Yth.
Saya selaku warga Desa Karang Asih Jl. KH Fudholi, ingin memberitahukan bahwa terdapat saluran air yang rusak di tepi jalan yang ramai penggunanya. Jalanan pun sudah berlumut, akan sangat rawan sekali untuk dilewati para pengguna jalan yang ramai ini. Besar harapan saya agar Bapak/Ibu dapat menindaklanjuti ini.
Terimakasih","Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi","  Lainnya terkait Pembangunan Desa, Daerah Tertinggal, dan Transmigrasi"
2,"Disepanjang jalan chr binti dan jalan temanggung kanyapi iii, dapat kita lihat terdapat beberapa titik pembuangan sampah liar, walaupun sudah terpasang spanduk 'dilarang membuang sampah disini, akan dikenakan sanksi untuk pelanggarnya', namun hal itu tak lantas membuat penyakit masyarakat ini selesai. masih saja warga yg bukan dari area tsb, membuang sampah di tempat itu. hal ini tentu membuat area tsb mengeluarkan bau yang menyengat, jalan yang masih tanah menjadi hancur - basah - kotor - bau, dan sangat mengganggu warga sekitar yang tinggal di area tsb. 
mohon juga untuk area jl chr binti sampai temanggung kanyapi iii di lakukan pengaspalan jalan. karena area penduduk sudah padat namun belum ada tindaklanjut untuk perbaikan jalan. dimana area ini menghubungkan jalan komersil sethadji dengan jalan rta milono. hal ini tentu akan menunjang terciptanya perekonomian yang berputar, memudahkan akses masyarakat dan tentunya masyarakat tidak merasakan banjir lagi. yang mengakibatkan hujan beberapa jam saja dapat membuat jalan di temanggung kanyapi iii dan jalan sampah chr binti menjadi tergenang air / banjir.",Dinas Pekerjaan Umum dan Penataan Ruang Kota Palangka Raya,  Infrastruktur Jalan
3,"Date : 25-04-2021
ref   : pl/127/stj-cpr/22.04.2021/043/0025
perihal : permohonan  presentasi pompa banjir , pompa sumur bor  ,  pompa limbah, pompa submersible , pompa sewage , pompa distribusi untuk  pemerintahan kabupaten batang 

kepada yth 
bapak dr.h. wihaji  s.ag, m.pd
bupati kabupaten batang  
jawa  tengah 

assalamu’alaikum warahmatullahi wabarakatuh

dengan hormat,
bersama ini kami memperkenalkan dari pt. sumber tiga jaya selaku authorized dealer pompa brand caprari asal negara italia yang berpengalaman selama 75 tahun di bidang industri  pompa air. perusahaan kami sudah menerapkan sistem manajement mutu iso 9001: 2015, sistem manajemen lingkungan  iso 14001: 2015, sistem manajemen kesehatan dan keselamatan kerja iso 45001: 2018. 

kami ingin mengajukan permohonan   presentasi produk pompa banjir , pompa distribusi  , pompa sumur dalam submersible , pompa limbah  , pompa sewage brand caprari untuk menanggulangi bencana  banjir di kabupaten batang   dan  dalam melayani kebutuhan air untuk  masyarakat  kabupaten batang  dan  menjadi  rekanan vendor pompa banjir dan pompa sumur bor , pompa limbah  brand caprari di  pemerintahan kabupaten batang jawa tengah    

demikian  permohonan presentasi  ini kami ajukan . besar harapan kami agar dapat menjalin kerjasama dengan  kabupaten batang    dalam  hal mensuplay kebutuhan pompa banjir dan pompa air baku untuk kebutuhan air di masyarakat  kabupaten batang     .
 untuk koordinasi jadwal presentasi tatap muka  atau   via webinar , silahkan hubungi tim kami bapak eko koentjoro  no. hp: 0812-3311-3185. 

atas perhatian dan kerjasamanya kami mengucapkan terima kasih",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Batang,  Bendungan
4,"Perumahan utama regency rt.2/rw.8 pematang kapau, tenayan raya, pekanbaru, riau telah terjadi banjir. mohon pihak terkait ditangani, benahi drainase.",Dinas Pekerjaan Umum dan Penataan Ruang Kota Pekanbaru,  Drainase (Gorong-Gorong/Parit)
5,"Selamat pagi para pemimpin! peringatan, peringatan, peringatan! halo para pemimpin wakil rakyat disana, bagaimana dengan jalanan kami? jalan pabuaran, kab. bogor yang sudah rusak hampir 1 tahun ini...jalanan rusak karna tanpa ada gorong-gorong pembuangan air sehingga menyebabkan mudah hancur. ada beberapa titik kerusakan yang sudah parah. 1.depan dealer suzuki citayam
2. depan rs citama
kalo sudah musim hujan jalanan banjir parah, banyak mobil2 terpentok karna terdapat lubang yg cukup dalam sekali! dan motor2 juga banyak yg terpleset! tolong lah ini segera dibenahi dengan sungguh-sungguh. di beton yg tebal dan secara benar agar tahan lama dan juga buat saluran pembuangan air nya juga yang besar! percuma juga kalo dibeton tanpa ada saluran pembuangan air nya (got). ini adalah jalanan satu-satu nya didesa kami! ayolah jangan lama dalam hal kyk gini! gerak cepat, taktis! buat warga senang dan percaya dengan kinerja kalian!",Dinas Pekerjaan Umum dan Penataan Ruang,  Infrastruktur Jalan
6,"Kepada yth
pak walikota bekasi/ dinas kebersihan kota bekasi
pak tolong sampah yang ada di jalan bagol kelurahan jatisari, kecamatan jatiasih, itu warga pada buang sampah disitu deket sungai beresiko banjir dan penyakit terhadap lingkungan sekitar
harus ada tindakan nyata dari dinas terkait soalnya sudah sering di bersihkan tetapi warganya tetap buang sampah disitu.",Dinas Lingkungan Hidup Kota Bekasi,  Pencemaran Lingkungan
7,"Pak tolong di jalan tempat kami tinggal di provinsi sumatera selatan,kota palembang, kec. sematang borang, kelurahan sukamulya, 30161.
jl. sunarna lrg. serang tepat nya di kampung serang. tolong bapak"" yang berwenang di benerin jln kami dan sinyal semua operator pun susah di sini padahal kami sangat membutuhkan sinyal jaringan dan jalan pak. jalan kami di sini tanah yang berlobang yang dalam. kami di sini bnyak anak"" kecil pak. trus apa lagi sekarang musim hujan di sini juga banjir. bulan kemarin sih pak ada yg poto"" jln buat pembangunan jln. tp akhir"" ini bapak itu bilang uang nya blum cair dari pemerintah pusat.
tlong ya pak di percepat.",Dinas PUPR Kota Palembang,"  Lainnya terkait Pembangunan Desa, Daerah Tertinggal, dan Transmigrasi"
8,"Selamat malam, 
nama saya dyah
pengguna mrt
saya ingin mendapatkan info, apakah dari mulai lft mrt stasiun dukuh atas menuju jalan jendral sudirman sampai stasiun pompa air pengendali banjir dukuh atas ada kamera cctv?
hal ini dikarenakan saya kehilangan handphone di antara rute tersebut.
kalau ada, apakah saya bisa melihat kejadian hari senin, 19 april 2021 pada jam antara 06.30-07.00
saya tunggu jawabannya, terima kasih",Pemprov DKI 2,  Transportasi Darat
9,"Mohon di bantu. Aliran subak di jalan pohon jati - by pass ngurah rai , kelurahan kesiman petilan macet akibat sampah dan sedimentasi tanah. Sedangkan kedalaman subak tidak menampung debet air dan tanah serta kotoran rumah tangga. Perlu adanya revitalisasi saluran subak dan gorong gorong di perbaiki kedalamannya dan lebarnya. Agar sawah petani dan jalan masyarakat tidak terganggu. Terimakasih.",Pemerintah Kota Denpasar,  Drainase (Gorong-Gorong/Parit)
0,"Medan,
saya ingin membuat laporan mengenai kondisi gang kecil rumah saya. gang kami saat ini jika terjadi hujan maka akan banjir dan becek karena gang yang rendah daripada jalan utama sehingga air tidak bisa masuk drainase. dan kami juga meminta agar dibuatkan drainase kecil yang terhubung ke drainase yang utama. saya berharap pemerintah kota medan segera memperbaikinya, karena sudah ada janji untuk perbaikan tapi sampai sekarang belum terealisasi. 
alamat : jalan pinang baris gang resleting depan pekong cina. 
waktu : hari senin,19 april 2021. 
terimakasih",Dinas Pekerjaan Umum Kota Medan,  Drainase (Gorong-Gorong/Parit)
1,"Sampah merupakan penyebab utama banjir diberapa perumahan kota tangerang. buang sampah sembarangan merupakan kebiasaan yang menimbulkan eksternalitas penyebab kerugian ke masyarakat sekitar atau lingkungan. menumpuk sampah di jalan merupakan faktor kesengajaan untuk merugikan orang lain. pihak pemerintah harus aktif memberikan edukasi ke masyarakatnya, mulai pejabat rt, rw, dan lurah bahkan harus memberikan teguran baik secara personal maupun surat tegas dari kelurahan dan kecamatan. edukasi dapat dilaksanakan mulai dari sosialisasi rt/rw, pengumanan di mesjid setempat sehingga diperoleh lingkungan yang aman dan tidak menimbulkan banjir yang berdapak kerugian lebih besar. 
salah satu contoh pembuangan sampah di jalan adalah di:
perumahan kunciran mas permai blok k, jl. gunung talang, kelurahan kunciran indah, kecamatan  pinang, kota tangerang",LAKSA Kota Tangerang,  Topik Lainnya
2,"Kepada bpk/ibu yth,

saya ingin melaporkan kejadian banjir yang selalu terjadi di depan stasiun cibadak. air banjir yang cukup tinggi memasuki komplek rumah/toko di sekitar jalanan tersebut dan sering terjadi ketika hujan lebat. mohon kepada bpk/ibu terkait untuk menindaklanjuti kejadian ini agar dapat diperbaiki dan tidak mengganggu mobilitas/aktivitas masyarakat",Dinas Pekerjaan Umum Kabupaten Sukabumi,  Infrastruktur Jalan
