query,report,institute,category
kdrt,"Yth Bpjs Kesehatan Langsa
Saya mau bertanya, apakah perilaku KDRT ditanggung oleh Bpjs Kesehatan?
Terimakasih",BPJS Kesehatan KC Langsa,  Permintaan Informasi Tentang Jaminan Pelayanan
kdrt,"nama saya : wina asdiana ( bertempat tinggal di bekasi )melaporkan untuk warga bandung yang telah menelantarkan istri dan anak, tidak memberi nafkah serta tindak KDRT dan lari dari tanggung jwb hutang2.nama : Gian Hardyman Kusumah NIK : 3273040704840004 alamat : jl. cetarip barat rt 004/007 kel. kopo kec. bojongloa kaler. Saya mohon dibantu untuk saudara gian di tegur melalui RT RW agar menyelesaikan smuanya. sy sudah menghubungi orang tua/saudara/kerabatnya, akan tetapi tidak pernah di response oleh mereka. saya mohon bantuannya segera. terima kasih.",Kecamatan Bojongloa Kaler Kota Bandung,  Topik Lainnya
kdrt,"Hai org org baik,
saya ibu dari 2 anak balita usia 2 dan 3 tahun. suami saya kerap sekali kdrt d depan anak2 sehingga saya takut akan menggaggu psikologis anak anak saya.. 3 tahun usia pernikahan dr awal memang sudah d penuhi dengan pertengkaran2 hebat.. tapi di setiap pertengkaran itu, mulanya awalnya memang dari pihak suami. suami main perempuan, main judi online sampai kami kehabisan uang untuk sekedar makan. 3 tahun sudah saya berusaha sekuat tenaga dan kemampuan saya untuk bertahan demi anak anak. tapi semakin lama bukan perubahan yg baik yg terjadi melainkan sikap suami semakin buruk. semakin berani memukuli saya di luar rumah. semakin berani mengancam saya akan memisahkan saya dengan anak pertama saya. singkat cerita, saya sudah benar2 tidak kuat untuk menahan itu semua. saya minta pisah. kali ini saya merelakan anak pertama saya d bawa oleh nya. 3 tahun menikah ini saya memang murni ibu rumah tangga dan bergantung pada nafkah suami. sehingga dalam keadaan seperti ini membuat saya bingung saya harus kemana untuk tinggal. bisakah saya menerima bantuan? untuk sekedar saya tinggal dengan anak laki laki saya usia 2 tahun? saya berharap sekali mendapat uluran tangan org org baik.. saya tidak punya siapa2..  terimakasih",Deputi Perlindungan Hak Perempuan,  SP4N-LAPOR!
kdrt,"Bapak kami Najib S.E menjual rumah warisan almarhumah ibu kami secara paksa. Lebih jauh lagi, dari (saya) balita melakukan KDRT bahkan percobaan pembunuhan. Dia pergi entah kemana. Harap segera ditindak lanjuti!
Jl. Tembus Mantuil (Komplek Perumahan Wengga), Blok. J No.173, Kelayan Sel., Kec. Banjarmasin Sel., Banjar, Kalimantan Selatan 70246.",Deputi Perlindungan Hak Perempuan,  Lainnya terkait Sosial dan Kesejahteraan
kdrt,"Selamat siang yth bpk/ibu

saya mau melapor laki2 yg merupakan bpk anak sy, tapi tdk mau kasih surat resmi menikah, akta anak sy adalah “anak seorang ibu”, dan kk hanya ada sy dan anak sy. selama 3th sy mengalami tindakan abusive mulai dr fisik,verbal,financial,mental dan emosi. sd saat ini sy sudah pergi menjauh tetapi ybs tetap datang ke tempat sy, dgn berbagai alasan mengganggu ketenangan hidup sy dan anak sy.
sy takut krn dia sering bertindak anarkis, tdk jarang memukul, membentak, memaki. dan dr dulu sering mengancam “akan ambil anak sy dan tdk akan ketemu smpai sy mati” selalu mengancam “akan ambil anak sy” yg mn jelas2 itu adalah di akta lahir “anak dr seorang ibu” yaitu sy. mohon bantuanya . terimakasih.",Deputi Perlindungan Hak Perempuan,  SP4N-LAPOR!
kdrt,"Saya mendapat penganiayaan dari adik kandung saya tepat pada jam 11:30 am sebelum sholat jum'at, kejadian berawal karena saya tidak terima anak saya dibuat nangis oleh adik saya, lalu saya terkejut dan emosi mendengar suara tangisan anak saya yang berusia 5 tahun. sayapun marah akan tetapi yang si adik ini malah menyaci maki saya, saya tak terima lalu saya menghampiri dia, dia malah semakin kasar dan membully saya, ketika saya mau membalas, malah badan saya digebuk, dan di keroyok dgn adik lelaki saya, di cekik. saya membalas menerjang malah kepala saya diputar hingga badan saya terhempas dan menyebabkan mata sebelah kiri saya menjadi susah untuk melihat.",Pengaduan Masyarakat Kemen PPPA,  Topik Lainnya
kdrt,Kdrt harus dilaporkan kemana?,Pengaduan Masyarakat Kemen PPPA,  Kekerasan dalam rumah tangga
kdrt,"Mohon informasi dan bantuan dari denma mabes tni, sy isteri dr anggota tni al yg berdinas di satinduk bais tni ingin mengajukan permohonan cerai karena sering mendapat tindakan kdrt, selama 3 th terakhir. mohon dipermudah segala proses nya. terakhir kami mediasi dengan wadandenma namun tdk berhasil. saat ini sy menunggu kelanjutan prosesnya.mohon bantuannya utk dipermudah dan segera ditindaklanjuti, mengingat sy terpisah dari anak anak yg sangat memerlukan ibunya.terimakasih.",Badan Intelijen Strategis TNI,  Kesetaraan Gender dan Sosial Inklusif
kdrt,"Yth lapor
saya melaporkan tentang surat saya sebagai pelapor dan korban yang disurat laporan saya ke komnas ham r.i dan sampai sekarang tindak ada tindak lanjut,saya sebagai korban dan pelapor sangat prihatin atas laporan saya, saya mohon dalam laporan saya di lapor ini saya bisa mendapat jawaban dari ke surat saya ini.2 surat dari komnas ham yang benar benar melanggar hakassasi manusia karena tindakan krimanalisasi dari oknum aparat kepolisian boyolali.dan saya di bui selama 2 bulan dan ke 2 saya di bui 3bulan atas tindak kdrt psikis, kdrt psikis karena saya marah karena istri saya ketahuan mempunyai 4 ektp multi nik asli semua dan 1 ektp international kok malah saya yang di penjara??dan langsung langsung saya di tetapkan tersangka tanpa di bap dl,tidak 2 alat bukti yang cukup.bagaimana keadilan di indonesia.

terima kasih",Kepolisian Daerah Jawa Tengah,  Lainnya terkait Kepolisian
kdrt,"Yth : lapor

tidak ada tindak lanjut dari surat laporan komnas ham pusat jakarta per bulan januari 2020 sampai sekarang,yang dimana laporan berisi tentang tindak krimanlisasi dari pihak kepolsiian boyoali jawa tengah,bermula dari cecok rumah tangga dan istri ke tahuan mempunyai identitas 4 ektp multi nik,1 ektp internatioanl dan di duga melakukan tindak pidana poliandri ,sekedar cecok dalam rumah tangga saya di penjara selama 3 bulan dengan pasal kdrt psikis. dan surat saya sampai sekarang tidak ada tindak lanjut nyya saya mohon yth lapor untuk menindak lanjut i surat saya ini .komans ham adalah instansi yang menangani tentang hak asasi manusia yang dimana saya adalah selaku korban kriminalisasi aparatur negara yang di lakukan oleh oknum kepolisian polres boyolali jawa tengah. sampai sekarang saya blom menrima tindak lanjut dari surat saya ?sayamohon untuk memberikan kelanjutan tentang surat saya bukti bukti sudah saya berikan oleh kantor komnas ham r.i",Komisi Nasional Hak Asasi Manusia,  Lain-lain
kdrt,"Yth : lapor 

tidak ada tindak lanjut dari surat laporan komnas ham pusat jakarta per bulan januari 2020 sampai sekarang,yang dimana laporan berisi tentang tindak krimanlisasi  dari pihak kepolsiian boyoali jawa tengah,bermula dari cecok rumah tangga dan istri ke tahuan mempunyai identitas 4 ektp multi nik,1 ektp internatioanl dan di duga melakukan tindak pidana poliandri ,sekedar cecok dalam rumah tangga saya di penjara selama 3 bulan dengan pasal kdrt psikis. dan surat saya sampai sekarang tidak ada tindak lanjut nyya saya mohon yth lapor untuk menindak lanjut i surat saya ini .

terima kasih.",Admin Lapor Boyolali,  SMS
kdrt,"Laporan kasus asusila
mohon penggerakan cctv disetiap sudut kota,kabupaten,desa bahkan sampai ke tingkat rt agar dipasang banyak cctv agar qt dpt memantau dan menindak hukum pelaku asusila,kdrt dan kejahatan lainnya.
bagaimana nasib generasi kita bila mereka diperdaya oleh otak otak jahat.
kita butuh generasi yang berani berkata tidak untuk hal2 yg merugikan, bukan mental org2 yg hidup dlm bayang2.
pr seluruh kabinet menciptakan keadilan dan kemakmuran tuk rakyat.",Kepolisian Negara Republik Indonesia,  Perhubungan
tawuran,"Kepala dinas di tempat
saya memohon di tindak lanjut
menon aktif rt maupun kelurahan lubang buaya.
dikarenakan jalan pintu ii atas tmii gg bhinneka rt 04 rw 10 kel lubang buaya kecamatan cipayung jakarta timur
tempat mabuk2kan dan tawuran
rt maupun lurah tdk bisa. ambil sikap tegas.
demikian surat atau email  kami sampaikan 
dari wa sekjen lsm kaliber indonesia bersatu dkd dki jakarta",Pemprov DKI 2,  SP4N-LAPOR!
tawuran,"Lokasi jalan pekapuran ii raya, kelurahan tanah sereal, kecamatan tambora, jakarta barat, dari area belakang sekolah bhinneka tunggal ika hingga depan gang petak serani iii. 

sejak tanggal 13 april 2021, jam 2 pagi, mulai ada gerombolan berandalan yang menyusuri jalanan sembari membawa kaleng rombeng ditabuh-tabuh dan berteriak-teriak sahur, padahal gerombolan berandalan bukan mengingatkan untuk sahur tapi untuk mengganggu istirahat warga sekitar. 

selain menciptakan keonaran, hingga jam 6 pagi, juga memainkan petasan, balapan sepeda dan juga terus-menerus berteriak-teriak tidak jelas artinya, diselingi dengan umpatan kata-kata kotor. apakah sahur sekarang berarti anak-anak harus main lempar petasan dan mengumpat kata-kata kotor?

memainkan petasan juga berbahaya karena rumah no.14 adalah tempat usaha yang banyak memiliki kertas dan bahan-bahan mudah terbakar. jika petasan hingga menyebabkan kebakaran besar, apakah pemerintah mau bertanggung jawab? area ini area padat penduduk, memainkan petasan harusnya dilarang keras!

saat bertemu dengan kelompok lain, atau pengguna jalan (dalam hal ini pengendara motor) akan diserang. akibatnya tawuran antara kelompok atau kekerasan terhadap pengguna jalan. padahal sudah berulang kali dilaporkan bahwa jalan pekapuran ii bukanlah tempat prostitusi, lokalisasi, atau hiburan malam. 

tempat ini adalah tempat pemukiman warga yang berhak beristirahat dengan tenang di malam hari!

petugas berwenang diwajibkan untuk patroli dan menjamin ketentraman dan ketertiban warga! segera tertibkan gerombolan berandalan yang tidak bertujuan baik dan mengganggu ketertiban. area ini bukan untuk preman atau orang-orang yang niatnya mengacau!",Pemprov DKI 2,  Pelanggaran Social Distancing
tawuran,"Kepada yth pemerintah kota bekasi, sebagai warga jatibening kompleks a.l, pondokgede bekasi, saya ingin melaporkan ketidaknyamanan dan ketidakamanan sebagai warga dikarenakan adanya tawuran di situasi covid 19 sekarang, dimana keadaan tersebut pada saat setelah hujan dan sedang banjir, serta terlihat anak anak yang terlibat tidak menggunakan protokol kesehatan seperti masker, yang dimana sangat berbahaya bagi penyebaran virus corona. saya mohon dapat diberikan solusi dan tindak secara tegas dan disiplin bagi pelanggar tersebut, dikarenakan dapat memicu penyebaran virus corona. sekian terimakasih.

tertanda,
warga jatibening indah komp. a.l,
pondok gede, bekasi.",Kecamatan Pondok Gede,  Karantina Wilayah
tawuran,"Kepada yth, bapak mahfud md, menteri hukum dan ham, dan seluruh jajaran terkai, jika fpi dibubarkan dikarenakan ada indikasi mendukung terorisme, maka kenapa organisasi lain seperti pp dan fbr yang nyata sangat meresahkan masyarakat, contoh pp dan fbr selalu meminta jatah uang keamanan kepada pedagang yang berada dipinggir jalan, mereka selalu melakukan tawuran apakah hal tersebut tidak merugikan masyarakat,,?jika memang bapak2 yg terhormat ini mau berlaku adil silahkan bubarkan juga organisasi lain yang nyata2 memeras masyarakat, terima kasih, maf saya bukanpendukung a, b, atau c tapi saya mendukung keadilan di negeri ini",Kedeputian Bidang Koordinasi Keamanan dan Ketertiban Masyarakat,  Kepolisian
tawuran,"Aksi balap liar (motor) di jalur utama jl.letjen soeprapto,jakpus.. selama ini sangat meresahkan warga. hampir setiap hari mereka memenuhi jalur utama tsb (dari cempaka tengah hingga halte depan ruko cempaka mas.
warga (termasuk saya).. sudah berulang kali meminta pihak kepolisian (polres & polsek) untuk menindak. tapi kurang ditanggapi dengan maksimal. sudah diberitahu bahwa aksi tsb start dari jam 02.00 hingga pagi hari. patroli malah dilakukan antara jam 23.00 -00.30. jelas tak mungkin ada aksi balap liar tsb.
puncak kekesalan warga muncul.. akibatnya tadi subuh sekitar jam 3 terjadi chaos antara warga dengan para peserta dan penonton balap liar tsb.
bisa dikatakan...warga kalah dalam jumlah personel, karena jumlah peserta dan penonton balap liar tsb sangat banyak ( +/- 1000 orang). bahkan tadi ada pula rombongan peserta dari arah pulogadung, bekasi, kp.rambutan, lebak bulus hingga bsd yang ikut terlibat chaos..bahkan ada yang membawa samurai dan golok.

kalo seperti ini terus kondisinya, saya pastikan kedepannya akan ada korban jiwa...
hukum jalanan sepertinya lebih baik tuk menutupi kelemahan pihak kepolisian.

keluhan dan laporan saya ini sebaiknya segera ditindaklanjuti, sebelum kalian repot ngurusi korban di rs maupun rumah duka..!!!

regard
piet",Pemprov DKI 2,"  Lainnya terkait Ketenteraman, Ketertiban Umum, dan Pelindungan Masyarakat"
tawuran,"Anak dari daerah lain menyerang anak-anak Sungai Jawi Dalam. Mengajak tauran. Ketika dipanggil pihak kepolisian hanya membubarkan. Tak lama setelah dibubarkan dan polisi pergi mereka      berkumpul kembali dan mengajak tauran lagi. Ini sangat mengganggu warga sekitar. Dan ini juga membahayakan karena para penyerang membawa senjata. Selain itu, kejadian ini juga membahayakan bagi pengguna jalan raya, karena mereka berlarian disekitar jalan raya sungai jawi dalam. Saya melihat para penyerang sedang berkumpul di barau (depan gg margodirejo).  Ini selalu terjadi di setiap malam minggu. Mohon segera ditindaklanjuti agar tauran ini tidak terjadi lagi. Harap laporan ini segera direspon.  Untuk mencegah hal yang tidak diinginkan terjadi malam ini, orang  di gg kami sudah menelpon polisi namun mereka hanya dibubarkan, harap polisi bertindak untuk memberi mereka efek jera agar tidak terulang. Terima kasih.",Kecamatan Pontianak Barat,  Keamanan dan Ketertiban Masyarakat
tawuran,"Kepada
yth sekretariat jendral dpr ri
di tempat

   untuk menanggulangi wabah corona ini, saya berniat memberi saran & masukan untuk menghemat ekonomi negara indonesia dalam hal proses belajar mengajar tahun ajaran baru 2020, yakni dengan membuat sistem pelajaran dalam bentuk acara siaran televisi indonesia

   yang perlu dilakukan adalah memperkerjakan beberapa guru kelas 1 - 6 sd, guru semua mapel smp, guru semua mapel smk & sma, semua dozens mapel kuliah di acara belajar mengajar stasiun televisi & murid dapat mencatat juga merekam pelajaran & soal ujian ditelevisi lalu mengerjakannya dirumah kemudian jawaban dari soal atau ujian diserahkan ke guru sekolah mereka untuk dikoreksi & dikirim lembaga pendidikan

contoh : 
   - trans tv  pukul 07 - 11 menayangkan acara pelajaran sd kelas 1 & pukul  11 - 15 menayangkan acara pelajaran sd kelas 2
   - antv pukul 07 - 11 menayangkan acara pelajaran sd kelas 3 & pukul 11 - 15 menayangkan pelajaran sd kelas 4
   - indosiar pukul 07 - 11 menayangkan acara pelajaran sd kelas 5 & pukul 11 - 15 menayangkan acara pelajaran sd kelas 6
   - rcti pukul 07 - 11 menayangkan acara pelajaran smp kelas 1 & pukul 11 - 15 menayangkan acara pelajaran smp kelas 2
   - mnc tv pukul 07 - 11 menayangkan acara pelajaran smp kelas 3 & pukul 11 - 15 menayangkan acara pelajaran sma/smk kelas 1
   - sctv pukul 07 - 11 menayangkan acara pelajaran sma/smk kelas 2 & pukul 11 - 15 menayangkan acara pelajaran  sma/smk kelas 3
   - rtv pukul 07 - 11 menayangkan acara pelajaran studi kuliah & begitu seterusnya

   sedangkan untuk ujian harian, ujian semester, ujian kelulusan, praktek jurusan bisa dikerjakan disekolah atau universitas dengan cara pembagian murid,
   misal : 1 kelas ada 35 murid (maka 35 murid dibagi 7 hari menjadi 5 murid yang masuk sekolah untuk mengerjakan ujian & praktek jurusan berdasarkan protokol kesehatan)

 keuntungan :
    - menghemat ekonomi rakyat dengan tidak membeli kuota untuk belajar di internet
    - dapat menjauhkan mata anak dari sinar biru ponsel yang berbahaya
    - tetap menjaga psbb dengan belajar dirumah

keuntungan lainnya :
    - menjauhkan generasi muda dari pergaulan bebas yang mengajak ke narkoba, prostitusi, tawuran di sekolah swasta yang kebanyakan adalah premanisme bila pandemi berakhir
    - memberi kesempatan kedua belajar bagi anak yang tidak sekolah & putus sekolah
    - mengurangi tindak kekerasan guru terhadap murid

kerugian
    - meniadakan sekolah swasta
    - mengurangi pembelian seragam sekolah
    - mengurangi tenaga kerja guru

   sekian saran dari saya semoga dapat membantu indonesia kedepannya.


mochamad nur hamzah",Dewan Perwakilan Rakyat Republik Indonesia,  Perekonomian
tawuran,"Selamat malam bpk polisi yang kami hormati,

saya adalah salah satu warga yg teramat merasa terganggu dengan keberadaan sekelompok abg/pemuda yg hampir setiap malam nongkrong bernyanyi, berteriak, mabuk miras dll hingga larut malam bahkan subuh pagi ..

dulunya kelompok tersebut sudah beberapa kali ditertibkan karena sering memicu terjadinya tawuran antar kampung. dan banyak dari mereka juga sudah pernah ditangkap.. 

namun setelah beberapa lama kelompok tersebut vacum, akhirnya belakangan ini mulai kembali berkumpul melakukan hal² seperti yg dijelaskan tadi. 

kami sebagai warga merasa terganggu dan resah akibat ulah mereka. 

tokoh masyarakat juga sudah beberapa kali coba menertibkan namun tetap saja mereka mengulanginya kembali. 

jadi kami mohon kepada pihak terkait khususnya kepolisian yg berada diwilayah kelurahan grogol, kec. grogol petsmbursn jakbar unthk menindak tegas serta melakukan patroli rutin didaerah tersebut. 

terima kasih atas perhatiannya dan kami berharap bantuannya.",Kepolisian Daerah Metro Jakarta Raya,  Ketertiban Umum
tawuran,Yth bpk bupatu garut mau tanya saya fungsi psbb itu apa ya pak ?coba lihat di lapangan seperti apa khususnya daerah jl ahmad yanipembatasan hanya untuk kendaraan saja sedangkan orang nya bisa mengakali dengan 1000 cara masih terlalu bnyk yg berkumpul dan mengabaikan social distancinggrafik covid 19 di garut pun tidak ada penurunan media pun bnyk memberikan stigma negative pada garut karena masih terlalu banyak diabaikan social distancing dan penggunaan maskerbandung saja dari awal psbb pusat perbelanjaan tutup pak justru moment mau lebaran ini seharusnya ditutup pkl dan mall digarut supaya tidak makin menyebar dan memutus rantai covid 19apa bapak tidak kasihan dengan tenaga medis yg bekerja 24 jam coba lebih tegas mungkin bisa mencontoh kota lain dalam penanganan covid iniapalagi baru aja ada tawuran geng motor di masa psbb initolong segera dibuat kebijakan yg serius supaya covid hilang dari garut minimal tegad agar masyarakat tidak bnyk berkumpul terutama daerah pengkolan dan garut plaza,Badan Penanggulangan Bencana Daerah Kabupaten Garut,  Corona - Jaga Jarak Aman (Physical Distancing)
tawuran,"Ada tawuran di kaliabang tengah, bekasi utara. disini memang rawan tawuran. barusan jam 2.45pagi ada tawuran lagi dan untung aja ada polisi naik motor pakai sirine jd pergi mereka. serem sekali. tolong dipantau area ini karena saya takut besok besok terjadi lagi karena memang sering terjadi. sangat meresahkan masyarakat. terjadi tgl 12mei (gatau kenapa di tgl kejadian gabisa dipilih 12mei)",Satpol PP Kota Bekasi,  Topik Lainnya
tawuran,Terkait tawuran yg mulai terjadi kembali dan hampir tiap mlm sekitar jam 3 smpe menjelang subuh di jl.warakas gg.21 kel.warakas tg.priok,Polres Metro Jakarta Utara,  Corona - Jaga Jarak Aman (Physical Distancing)
tawuran,"Hari ini banyak knalpot bising sepedamotor dan mobil diwilayah polsek palupuh,polres bukittinggi,sumaterabarat.seolah-olah mau mengajak tawuran,juga dentuman musik mobil lewat.",Kepolisian Negara Republik Indonesia,"  Bidang Politik, Hukum, dan Keamanan"
tawuran,"Ektp di disdukcapil kabupaten tangerang.

hampir 1 tahun lamanya teman saya urus ektp di ektp di disdukcapil kabupaten tangerang, namun hingga hari rabu 26 pebruari 2020 ektp-nya belum tercetak (terlampir screenshoot bukti keluhannya)
sangat tidak masuk akal bila alasan klasik blangko tidak tersedia.
ngapain saja aparatur negara selama ini ? 

ektp adalah layanan dasar pemerintah terhadap warga negara. 
kalau urusan layanan dasar saja tidak beres bagaimana layanan lainnya ? pembuatan sim itu bisa selesai dalam hitungan jam, masa ektp kalah jauh (hitungan jam ke 1 tahun). bahkan kartu atm bank bisa dalam hitungan menit.
stop cari pembenaran diri, kerja, kerja, kerja.
tentu tidak perlu terulang kejadian seperti di batam
https://www.batamnews.co.id/berita-59287-kesulitan-urus-ektp-di-batam-warga-dan-pegawai-disdukcapil-pilih-tawuran.html
#ayokerja",Dinas Kependudukan Dan Catatan Sipil Kabupaten Tangerang,  Administrasi Kependudukan
