report,unit
"Saya sartika nasabah bank bri, saya kecopetan pada tanggal 21 0ktober 2019. saya sudah mengajukan pembuatan buku tabungan dan atm pengganti di cabang teras kota tangerang. cuma sudah hampir 2 bulan belum ada kabar dari bank bri. saya sudah menanyakan ke bank bri tetapi jawabannya sama... belum ada kabar. 0adahal kata.nya nunggu 2 minggu saja buat penerbitannya. saya cuma butuh uang saya di dalam atm itu. saya cuma rakyat biasa.. dan sangat butuh dana tersebut.ketika saya konfirmasi lewat cs bri..  masih sama jawabannya harus menunggu. dan menunggu...tolong lah bank bri. bantu percepat.. ini udah terlalu lama.kan zaman sudah modern. menunggu info saja... harus bebulan2.",PT Bank Rakyat Indonesia (Persero) Tbk
"Mohon petunjuk tata cara pengajuan pemblokiran imei pada handphone yang hilang, perihal peraturan menteri (permen) kominfo nomor 11 tahun 2019 tentang pengendalian alat dan/atau perangkat telekomunikasi yang tersambung ke jaringan bergerak seluler melalui identifikasi international mobile equipment identity (imei).Atau jika perlu permohonan agar di ambil tindakan dan bantuannya untuk melakukan pemblokiran atas hanphone saya yang hilang dicuri/dicopet pada tgl 22 Desember 2019 sekitar Pk : 10.30 W.I.B di Stasiun Tanah Abang Jakarta Pusat dengan no. imei 1: 864484045988194, imei 2: 864484045988186 & serial number : C819SGQ06D00 merk vivo v15 warna merah glamor.Terima Kasih atas perhatian dan kebijaksanannya.",Direktorat Jenderal Sumber Daya dan Perangkat Pos dan Informatika
"Untuk keamanan di sekitar kampus usu agar segera di perbaiki, karena banyak mahasiswa yang kehilangan motor, dompet, dan barang berhaga lainnya. baik itu krn pencopetan scr lngsung maupun tersembunyi. 

lokasi : universitas sumatera utara, medan, sumatera utara",Kepolisian Negara Republik Indonesia
"Kepada yth
bapak kepala satuan polisi pamong praja kota p. siantar
di tempat

dengan hormat
pak mohon agar sering melalukan pemantauan di sekitar pajak parluasan, karena masyarakat ataupun pengunjunng masih sering kena copet. terimakasih",Satuan Polisi Pamong Praja
"Selamat pagi, saya mau melaporkan 2 hal. yang pertama keadaan jalan yang rusak di beberapa di daerah jalan karbela timur, setiabudi, kuningan, dekat rs mata aini. jalan sudah tidak pernah di aspal sejak 10 tahun lebih, keadaan jalan sudah rusak, malah saya lihat yang di aspal jalan gang2 kecil yang belum rusak. hal kedua, tolong dibuatkan bumper speed atau polisi tidur di jalan karbela timur, hal ini dikarenakan banyak kendaraan yang kebut sesuka hati, terutama motor. karena lingkungan banyak pejalan kaki dan anak2. dan sering kali terjadi penjambretan atau copet yang menggunakan motor karena jalan track lurus yang memudahkan penjambret melarikan diri, saya berharap dengan dibuatkan bumper speed dapat mengurangi kendaraan yang kebut dan tindak kejahatan. saya sebagai warga dki jakarta sangat peduli akan hal ini, semoga pemerintah dapat segera merealisasikannya. atas perhatian dan kerja samanya saya ucapkan banyak terima kasih.",Pemprov DKI 2
"Kendala dalam pembuatan paspor baru

yth. bapak/ibu
direktorat jenderal imigrasi

dengan ini saya mengadukan masalah dalam pembuatan paspor baru yang di persulit kantor imigrasi juanda, sidoarjo. saya pernah memiliki paspor pada tahun 2009, akan tetapi paspor saya hilang di tahun 2010 karena pada waktu itu paspor saya taruh di dalam dompet dan dompet saya di copet orang. pada tahun 2019 saya akan mengurus paspor baru,  setelah di periksa kelengkapan (ktp, kk, surat dispenduk, dll) sudah lengkap. pada waktu proses wawancara, di lihat ktp dan di tanya pada bagian wawancara ""apakah anda sebelumnya sudah memiliki paspor?"" saya jawab ""sudah, tapi pada tahun 2010 hilang"". setelah itu di koreksi masalah dokumen-dokumen pelengkap lainnya. katanya ada perbedaan dengan nama yang ada di ktp dengan nama yang ada di akta kelahiran. selanjutnya di perintahkan untuk mengurus ktp sementara dulu di dispenduk capil sidoarjo. selanjutnya bagian wawancara mengatakan ""untuk masalah paspor yang pernah anda miliki, apa benar-benar hilang? atau lupa meletakkan? saya jawab ""paspor saya benar-benar hilang"". bagian wawancara menjelaskan lagi ""apabila paspor anda benar-benar hilang, anda segera mengurus surat kehilangan di kepolisian setempat dan selanjutnya datang kembali ke kantor imigrasi untuk dilakukan bap dan membayar denda 1.000.000. dan apabila paspor anda rusak, anda tetap dilakukan bap akan tetapi denda yang anda bayar agak ringan yaitu 500.000"". setelah saya meminta surat kehilangan di kantor kepolisian yang dekat tkp, saya melakukan bap. pada waktu di bap, saya tetap di persulit untuk mengurus paspor baru dengan alasan tetap di suruh mencari paspor yang lama. dan apabila paspor lama tidak ketemu, saya kena penangguhan selama 6 bln, dalam artian saya tidak bisa membuat paspor selama 6 bulan. kasus ini sudah pernah saya alami pada tahun 2017, akan tetapi saya tidak mendapatkan surat penangguhan paspor. sedangkan saya butuh paspor untuk bulan desember 2019.

pengaduan selanjutnya yaitu dipersulit pengurusan paspor kepada anak yang belum mumayyiz atau belum cakap hukum dan kedua orang tuanya telah bercerai. anak tersebut hak asuhnya telah di pegang ibunya. menurut undang-undang nomor 1 tahun 1974 tentang perkawinan bab viii putusnya perkawinan serta akibatnya
pasal 41
akibat putusnya perkawinan karena perceraian ialah:
a. baik ibu atau bapak tetap berkewajiban memelihara dan mendidik anak-anaknya, sematamata berdasarkan kepentingan anak; bilamana ada perselisihan mengenai penguasaan anak-anak, pengadilan memberi keputusannya;
b. bapak yang bertanggung jawab atas semua biaya pemeliharaan dan pendidikan yang diperlukan anak itu; bilamana bapak dalam kenyataan tidak dapat memenuhi kewajiban tersebut, pengadilan dapat menentukan bahwa ibu ikut memikul biaya tersebut;
c. pengadilan dapat mewajibkan kepada bekas suami untuk memberikan biaya penghidupan dan/atau menentukan sesuatu kewajiban bagi bekas isteri.
dan menurut khi (kompilasi hukum islam) bab xiv: pemeliharaan anak 
pasal 105
dalam hal terjadinya perceraian:
a.  pemeliharaan anak yang belum mumayyiz atau 
      belum berumur 12 tahun adalah hak ibunya;
b.  pemeliharaan anak yang sudah mumayyiz 
      diserahkan kepada anak untuk memilih diantara.  
      ayah atau ibunya sebagai pemegang hak 
      pemeliharaanya;
c.   biaya pemeliharaan ditanggung oleh ayahnya.

pada waktu pengecekan dokumen-dokumen kelengkapan ditanyakan mengenai putusan petceraian dan akta cerai kedua orang tuanya, dan ternyata dokumen-dokumen tersebut telah dilengkapi oleh ibunya. pada saat wawancara, disuruh mendatangkan orang tua laki-laki dengan alasan meminta peraetujuan. padahal hak asuh anak yang belum mumayyiz atau belum berumur 12 tahun adalah hak ibunya, mengapa perlu diminta tanfatangan ayahnya? sedangkan ayahnya tidak menghiraukan dan atau tidak petnah mengurusi anak tersebut. 

mohon solusi secepatnya mengenai pelayanan dan penanganan kantor imigrasi kelas 1 khusu sidoarjo.",Jawa Timur - Kanim Kelas I Surabaya
"Siang, saya ingin melaporkan kasus copet yg marak terjadi, d daerah senen,.jakarta pusat
tepatnya d trotoar depan blok 1 dan blok2 senen,.
bersebrangan dg bioskop grand senen...
umumnya trotoar ini d gunakan bg yg mau k halte busway d bawah flyover senen.

d trotoar sdh ada coretan pilox ""awas copet"",. berjarak sekitar 5 meter, namun sdh mulai pudar krn cuaca. modus pencopet itu adalah mendekati dari belakang org yg pakai tas ransel, utk kemudian membuka dan mengambil brng si korban

mhon agar dapat d jaga d daerah tsb. agar tdk terjadi penghakiman massa",Pemprov DKI 2
"Apakah ada pengembangan bis trans jateng ataupun pengembangan keamanan bis seperti bis trans jateng ke seluruh daerah jawa tengah? karena banyak sekali kejadian pencopetan, kejahatan seksual, dan sejenisnya khususnya di bis pantura. 
#ayolapor",Dinas Perhubungan Provinsi Jawa Tengah
"Banyak pencopet di sekitaran halte pasar senen - atrium.

tolong di tindak.tegas.
pencopet mendekati calon korban yang akan naik ke bajaj, grab, gojek, taxi dll. dengan alasan bahwa itu pesanan mereka (si pencopet). pencopet berramai² mendekati korban dan berusaha mengambil barang² berharga si korban.

sekedar informasi. polsek senen sangat dekat dari lokasi kumpul para pencopet tersebut. tolong di basmi para pencopet ini. sangat meresahkan. jangan sampai kami masyarakat yang turun langsung sendiri. kami masih mengharga hukum.",Kepolisian Negara Republik Indonesia
"Ganjil genap jakarta, perluasannya dan sistem transportasi umum

dear departemen perhubungan jakarta,

saya disini akan menyinggung tentang pemberlakuan ganjil genap yang diperluas.

1. perlu diperhatikan kenapa tidak diberlakukan untuk kendaraan bermotor roda dua? karena ini akan menambah jumlah kendaraan roda dua sedangkan pelanggaran yang terjadi di jakarta saja untuk kendaraan roda dua tidak bisa ditangani oleh aparat. banyak sekali yang tidak pakai helm, lawan arah, tidak ada surat lengkap. 

2. apakah transportasi umum sudah memadai, jumlah kendaraannya, ketepatan waktu datang, tempat menunggu dan rute menuju halte apakah sudah ramah lingkungan? jalan berdebu, trotar kecil, motor lawan arah, halte panas. belum lagi kendaraan datang tidak tepat waktu sehingga sewaktu masyarakat masuk kedalam, tidak rebutan tempat duduk. apakah sudah diperhatikan hal ini? buat laki2 memang mungkin tidak masalah, tadi ibu2, itu kasihan. apakah sudah aman dari copet atau prilaku asusila. saya rasa kalau kemendub menerapkan “mistery shopper” istilah dalam dunia retail yaitu team kemenhb setiap hari melakukan perjalanan di setiap moda transportasi umum dan melihat kejadian langsung, menilai kinerjanya apakah sudah layak, aman, dan bisa memanjakan masyarakat. ini harus dievaluasi. team dari kemenhun juga yang ke lapangan tidak perlu pakai baju kantor dengan atribut kepemerintahan. ini agar bisa terlihat real yang terjadi di lapangan seperti apa.
saya tinggal di jalan pemuda rawamangun dan kantor di pondok indah. saya pernah merasakan transportasi umum dalam kurun 3 bulan kebelakang, sangat mengecewakan baik itu transjakarta ataupun yang lain. berdesakan, tidak bisa duduk, debu, panas, dan waktu tempuhnya lebih lama dibanding saya membawa mobil. dan kepenatan yang saya rasakan dengan menggunakan transportasi umum justru lebih penat menggunakan transportasi umum daripada membawa kendaraan pribadi. apakah ini yang dinamakan transportasi umum andalan dan dapat memanjakan masyarakat? apakah ini sudah memadai?

3. kenapa pejabat daerah dengan sekumpulan “plat nomer sakti” itu bebas melewati rute ganjil genap, bukankan pegawai swasta, pelaku usaha dan yang lainnya ingin bekerja juga? bukankan kami masyarakat juga membayar pajak dan untuk negara termasuk pegawai dll? cobalah para pejabat tinggi, tiap hari ke kantor dengan kendaraan sendiri tanpa dikawal tanpa memakai “plat kendaraan dinas (hitam / merah) apakah sudah memilih jalan? jadi jangan diberlakukan untuk masyarakat tapi pejabat tinggi tidak merasakan masyarakat itu menjadi susah ke kantor atau tidak. apalagi ibu2 yang bekerja, tidak mungkin ibu2 pulang bekerja diatas jam 9 dengan alasan “ganjil genap” kasihan mereka terutama anak2 karena semakin sedikit waktu bertemu anak2. apakah ini tidak dipikirkan? ibu2 bekerja memang pilihan masing tapi ini harus diperhatikan.

3. pemberlakuan ganjil genap perluasan dengan ditambahnya tidak berlaku lagi persimpangan masuk tol dan keluar tol, ini sangat tidak masuk akal. jujur saya tidak nyaman dengan transportasi umum rute harian saya tapi kalau mau masuk tol dipersusah juga jadinya gimana kita mau kerja? para pejabar pemerintah mungkin enak dengan “plat nomer dinas” leluasa melewati semua jalan. dan bagimana dengan nasih masyarakat yanh tiggal di pinggir jalan ganjil genap dan hanya punya satu akses? ini namanya membatasi produktifitas masyarakat dong. persimpangan akses tol dan keluar tol harus bisa dilewati.
kami masyarakat meminta akses tol dan persimpangan keluar tol tetap ada dispensasi. jangan membatasi produktifitas kami. kami mau kerja pajak kami juga untuk negara. 

saya setuju ganjil genap tapi dengan evaluasi dan research yang benar, kalau dengan perluasan baru ini namanya membatasi geral dan produktifitas masyarakat jakarta. yang kaya / menengah atas akan beli mobil lagi dan tidak akan mengurangi kualitas udara. beli mobil listrik? peraturannya saja belum jelas, harga mobil listrik di negara asal tidak sampai miliaran dan masuk indonesia jadi 2-3 kali lipat  tidak ada solusi. ayah saya cuma punya satu mobil, dia seorang dokter sudah 60 tahun lebih masih bawa mobil sendiri, bukan dokter komersial yang uangnya banyak mobilnya banyak. saya sangat prihatin ayah saya harus cari jalan tikus untuk praktek ke rasuna dari rawamangun karena aturan ini. 

tolong aturan baru ini dievaluasi lagi.


cheers,
krishna raharja",Pemprov DKI 2
"Kepada Yth. Pemprov DKI Jakarta
Saya mengeluhkan buruknya kualitas keamanan Metromini 07 (Jurusan Semper - Senen) karena rawan akan copet. Sering sekali terjadi aksi copet di dalam Metromini tersebut. Biasanya pelaku naik dari Pasar Ular atau Pasar Kaget. Jumlah pelakunya bekisar 4-5 orang setiap hari dan sudah banyak orang yang telah menjadi korbannya.  Mohon pihak dishub bisa meningkatkan kualitas keamanan Metromini 07 tersebut dengan sering mengadakan razia di wilayah Pasar Ular dan berkoordinasi dengan pihak kepolisian untuk menangkap para pelaku copet tersebut guna meningkatkan keamanan dan kenyamanan para penumpang.  Demikian laporan saya. Mohon ditindaklanjuti pak, Terima Kasih ",Dinas Perhubungan
"@idolasemarang @Dishubkotasmg Pak, tolong setiap BRT di beri CCTV, karena banyak copet berkeliaran di BRT... #LaporHendi ",Dinas Perhubungan Kota Semarang
Tolong sampaikan kpd dishub jangan sampai melarang kendaraan online naek angkot itu lama suka ngetem berenti2 terus yg kerja dg kesiangan dtambah bnyak pengamen kadang ada copet.,Dinas Perhubungan Kota Bandung
"permisi, kemarin malam sekitar pukul 20.00 WIB saya mengalami pencopetan gadget Smartfren A16C3H di perjalanan kereta sepanjang perjalanan stasiun Manggarai - Kranji dan saya berhasil melacak gadget saya melalui layanan Find My Device dari Google pada sekitar pukul 9.30 WIB paginya dan posisi gadget saya masih berada di lokasi yang sama sampai saat ini (11.22 WIB) yakni di daerah Cilebut (untuk detail lokasi bisa dilihat di foto2 terlampir). 

Saya sudah mengunci perangkat saya dan menuliskan pesan untuk segera menghubungi no hp saya jika menemukan gadget saya tersebut barang kali hp saya hanya terjatuh bukan dicopet. namun ketika saya saya deringkan secara remoted, bukannya menghubungi saya, pemegang hp itu malah mematikan dering dan menonaktifkan gadget saya

Jadi saya harapkan dengan sangat untuk ditindak lanjuti, karna mungkin saja lokasi pada foto2 terlampir adalah markas dari pencopet stasiun atau semacamnya. terima kasih atas perhatiannya

catatan: hp saya seharusnya terpasang sim card smartfren dengan no. 088808196412

pelapor:
Raden Alwi Syahid Wahyudin
Perumahan Pulogebang Kirana Blok C7 No.22 Pulogebang Cakung Jakarta Timur
085710488086


",Kepolisian Negara Republik Indonesia
"Yth Menteri Bumn,Mohon ditingkatkan keamanan penumpang kereta krl jabodetabek .Sudah menjadi perbincangan umum bahwa copet sering berkeliaran saat penumpang padat dan berdesakan.Baiknya dipasang kamera di gerbong2 dan disosialisasikan serta dipakai untuk tangkap copet2..terimakasih.",PT Kereta Api Indonesia (Persero)
