,report,unit
3,"Nama: Meid Harison
Lokasi: Jemaja Timur (Pasiran dan Genting Pulur)

-kampung pasiran dekat masjid jabal nur sampai saat ini tidak ada sinyal telpon dan sinyal internet, 
-sudah banyak rakyat melaporkan ke perusahaan telokomunikasi seperti indosat dan telkomsel tapi tidak ada bukti nyata yang dirasakan oleh rakyat, 
-kami butuhkan demi kemajuan tempat kami baik pariwisata, melaporkan pajak tahunan, para pelajar dan guru untuk bisa berkarya demi bangsa dan negara, 
-jangan berikan kami sinyal satelit. Karna sinyal satelit yang bapak berikan sering terganggu dengan cuaca 
-serta alatnya yang tidak berkualitas. Mohon bangunkan tower atau palaparing seperti yang bapak janjikan saat kampanye.

-sekolah sdn 004 genting pulur kecamatan jemaja timur pulau jemaja kabupaten kepulauan anambas, 
-sekolah kami jauh dari perhatian, ruang kelas sekolah untuk kelas 1 tidak ada, 
-perpustakaan juga tidak ada, ada sinyal internet satelit gratis sering kali tidak berfungsi. 
-ada tower indosat dan sinyal telkomsel tapi sinyal internetnya tidak 4g. 
-berilah guru tersebut tunjangan daerah khusus karna mengingat biaya hidup diseluruh wilayah kabupaten kepulauan anambas khususnya pulau jemaja disekitar sdn 004 genting pulur sangat tinggi, 
-transportasipun tidak ada, kebakaran hutan sering terjadi, dinas kebersihan tidak berdiri sendiri, 
-dinas pemadam kebakaran dipulau jemaja juga tidak ada.

_____________________________________________________________________________________________________________________________________

Substansi Laporan:
1. Sinyal Telpon/Internet Desa, Pasiran Kec. Jemaja TImur
2. Sinyal Satelit Tidak Efektif
3. Sarpras SDN 004  Genting Pulur (Ruang Kelas, Perpustakaan, WIFI, tunjangan guru.) tidak memadai
4. Transportasi Umum
5. Keamanan dari Kebakaran",Dinas Pendidikan Pemuda dan Olahraga
4,"Lapor masih banyak kebakaran lahan di banjarbaru (Jl, Gubernur Soebarjo) arah ke trisakti",Badan Penanggulangan Bencana Daerah Kota Banjarbaru
5,"Darurat
selamat malam pak,, saya anak dari salah satu warga tiyuh panggung mulya sp.3 kecamatan rawa pitu kabupaten tulang bawang. 
melaporkan di tiyuh kami selama satu minggu ini mengalami kebakaran kebun kelapa sawit.
selama satu minggu ini sudah terbakar 4 kali dan luas lahan yang terbakar lebih dari 50 hektare dan kebun kelapa sawit yang ada belum terbakar sangat perlu pengawasan dan penjagaan yang ketat agar tidak terjadi kebakaran kembali.
dengan ini, saya meminta tolong dan bantuan kepada satgas atau yg terkait untuk membantu menjaga kebun kelapa sawit yg ada di tiyuh kami agar tidak terbakar lagi.
terimakasih atas perhatiannya.
darurat pak",Dinas Pertanian
6,"Ntt  syalom bapak gubernur ,suami saya joni muskanan bekerja sebagai tenaga kontrak daerah  selama 13 tahun di kantor pemadam kebakaran rote dari tahun 2007 sampai 2018 tapi 2019 bulan mei diberhentikan tanpa alasan saya mohon pembelaan bapak gubernur agar suami bekerja kembali 
terima kasih","Badan Kepegawaian, Pendidikan dan Pelatihan"
7,"Rumah kami mengalami musibah kebakaran tgl 19 september 2019. Sekitar 2 minggu lalu kami meminta untuk aliran listrik kembali dipulihkan oleh PLN lewat telepon 123. Tapi sampai saat ini, belum ada satupun petugas yang datang untuk memeriksa. Sudah 4 kali laporan dilayangkan. Berikut nomor laporannya : 21CCS9S, A1CMXNE, E1CRZQY, E1CSAME. Mohon bantuan Bpk Ibu dari pihak terkait untuk kami mendapatkan kejelasan kenapa belum datang juga petugas PLN.",PT PLN (Persero)
8,"Lapor hendy mohon diperiksa boks meteran penerangan jalan untuk jalan mlaten trenggulun kelurahan mlatibaru-semarang timur, kabel dan mcbnya meleleh danrawan kebakaran. terima kasih",Dinas Perumahan dan Kawasan Permukiman Kota Semarang
9,"Kepada dinas perhutani kab.bandung.
kebakaran gunung malabar arjasari.",DINAS PEMADAM KEBAKARAN DAN PENYELAMATAN KABUPATEN BANDUNG
0,Dimohonkan agar penanganan kabut asap serta kebakaran lahan khususnya di daerah sungai ulin cepat ditangani serta diminimalisir agak bencana serupa tidak terulang kembali,Dinas Kehutanan Provinsi Kalimantan Selatan
1,Kepada yang terhormat dinas kehutanan provinsi kalimantan selatan. kami warga pengayuan liangangangg mohon di himbauan dan di tindak lanjuti atas kebakaran lahan di wilayah kami. terimakasih,Dinas Kehutanan Provinsi Kalimantan Selatan
2,"Assalamu 'alaikum wr. wb.
selamat siang,

yth. kepala dinas kehutanan kota banjarmasin.
betapa berbedanya kalimantan selatan saat ini dengan yang dulu. saat ini banyak asap kabut dimana-mana dikarenakan kebakaran hutan yang melanda beberapa wilayah di kalimantan selatan. salah satu contohnya terdapat kebakaran yang terjadi di sungai ulin banjarbaru. selain itu juga masih ada beberapa titik kebakaran hutan di wilayah alalak banjarmasin. kami mohon agar pemerintah bisa memperhatikan. khususnya untuk para generasi muda yang merupakan agen perubahan. sekian laporan ini kami buat. semoga dapat membantu dalam upaya perbaikan pelayanan baik di dalam maupun di luar daerah kalimantan selatan. 

terimakasih,
wassalamu 'alaikum wr. wb.",Dinas Kehutanan Provinsi Kalimantan Selatan
3,Kebakaran didaerah saya mataraman kabupaten banjar meningkat setelah musim kemarau,Satpol PP
4,"Saya ingin melapor, saat ini banyak terjadi kebakaran dimana - mana. asap tebal membuat saya dan masyarakat sulit untuk bernafas dan sulit untuk beraktivitas. 
mohon agar pemerintah yang terkait selalu menghimbau masyarakat agar tidak menimbulkan kebakaran hutan dan lahan lagi. khususnya di wilayah barito kuala. terimakasih",Dinas Lingkungan Hidup Kab. Barito Kuala
5,"Tolong segera di tanggulangi masalah kebakaran lahan, sebab tingkat  kualitas udara di kalimantan selatan sudah sangat memprihatikan",Dinas Kehutanan Provinsi Kalimantan Selatan
6,"Teruntuk gubernur provinsi kalimantan selatan paman biarin, tolong berantas secepatnya kebakaran hutan yang membuat kabut asap yang dapat meresahkan masyarakat kalimantan selatan...",Dinas Kehutanan Provinsi Kalimantan Selatan
7,Mohon tindak lanjuti kebakaran hutan yg sering terjadi di kota banjarbaru,Badan Penanggulangan Bencana Daerah Kota Banjarbaru
8,Terjadi kebakaran hutan di daerah gambut kalimantan selatan.,Dinas Kehutanan Provinsi Kalimantan Selatan
9,Kebakaran lahan di kalimantan selatan makin sering dan menyebabkan kabut asap pekat,Dinas Kehutanan Provinsi Kalimantan Selatan
0,"Assalamualaikum bapak presiden

perkenalkan saya putri warga provinsi yang akan menjadi ibu kota baru bagi negara ini, bapak presiden, kami sedang membutuhkan bantuan, hutan dan lahan kami dilanda kebakaran yang hingga saat ini masih belum dapat dipadamkan, kesehatan kami terancam karena udara kami yang telah tercemar, aktivitas kami terganggu, hujan belum turun membasahi tanah kami yang mengandung emas hitam ini, mahakam kami sedang kemarau, sinar matahari terhalang oleh kabut asap yang tebal ini.
bapak presiden, salah satu alasan pemindahan ibukota adalah karena tempat kami minimal risiko terjadi bencana dan minimal bukan berarti tidak ada, dan saat ini bencana kebakaran hutan dan lahan itu sedang terjadi di tempat kami. 
bapak presiden, segeralah ambil tindakan selaku pemimpin negara ini
jangan sampai ada saudara-saudara kami yang menjadi korban.",Dinas Kehutanan Provinsi Kalimantan Timur
1,"Ntt  syalom bapak gubernur ,suami saya joni muskanan bekerja sebagai tenaga kontrak daerah di kantor pemadam kebakaran rote dari tahun 2007 sampai 2018 tapi 2019 bulan mei diberhentikan tanpa alasan saya mohon pembelaan bapak gubernur agar suami bekerja kembali 
terima kasih","Badan Kepegawaian, Pendidikan dan Pelatihan"
2,"Pemerintah provinsi dki/dishub/camat/lurah/pengurus rt/rw 

jalan dewi shinta di kompleks gading cipta residence kelapa gading digunakan untuk parkir mobil pribadi, jalan seolah menjadi milik sendiri. jalan yang adalah fasilitas umum dijadikan tempat parkir mobil pribadi oleh warga. mobil diparkir siang dan malam di sepanjang jalan, bahkan di kedua sisi jalan. 

gambaran situasi parkir mobil pribadi di jl. dewi shinta

1. saat masuk pos satpam di kompleks ini, hanya beberapa meter dari pos satpam, di sisi kiri jalan biasanya terdapat mobil diparkir. padahal di situ terdapat perempatan (dalam jarak 6 meter dari perampatan adalah daerah terlarang untuk parkir mobil) – lihat foto1.

2. hampir sepanjang jalan dewi shinta terdapat mobil diparkir di kedua sisi jalan. saat warga kedatangan tamu, bingung mesti diparkir di mana mobil tamu.

3. saat masuk ke kompleks ini, saat masih berada di pos satpam, mobil kita berhadapan dengan mobil dari arah yang berlawanan (berjalan ke arah pos satpam). dari posisi yang masih jauh, kita mesti menunggu untuk jalan bergantian – “stop and go” beberapa kali, karena jalan dihalangi oleh mobil-mobil warga yang diparkir di pinggir jalan (lihat foto2, foto3 dan foto7). kondisi ini dialami oleh pengendara yang masuk, maupun yang keluar – sangat mengganggu.

4. di sepanjang jl dewi shinta terdapat 2 perempatan dan 3 pertigaan. di samping masjid al hidayah di sisi jl. dewi shinta terdapat 2 pertigaan dengan posisi saling berlawanan (jl. dewi shinta dan tari baluse, jl. dewi shinta dan jl. tari klasik – lihat foto7). tepat di samping masjid dijadikan tempat parkir mobil, baik siang siang maupun malam. di tempat ini mobil2 diparkir berderet, bahkan ada yang diparkir di tengah jalan (karena memaksakan parkir mobil di samping pohon di pinggir jalan – lihat foto3, foto4 dan foto5). kondisi ini sangat berbahaya bagi lalu lintas warga, berpotensi kecelakaan – lihat gambar panah-panah berwarna merah di ilustrasi foto7.

pelanggaran aturan hukum

kondisi sebagaimana dipaparkan di atas memperlihatkan hak orang lain sesama pengguna jalan dihambat oleh pemilik mobil yang parkir di jalan. situasi ini memperlihatkan potensi pelanggaran terhadap beberapa aturan hukum, yaitu perda dki no. 5 tahun 2014 pasal 140 dan pasal 71 kuh perdata.

perda dki no. 5 tahun 2014 pasal 140
* ayat 1 - setiap orang atau badan usaha pemilik kendaraan bermotor wajib memiliki atau menguasai garasi.
* ayat 2 - setiap orang atau badan usaha pemilik kendaraan bermotor dilarang menyimpan kendaraan bermotor di ruang milik jalan.
* ayat 3 -  setiap orang atau badan usaha yang akan membeli kendaraan bermotor wajib memiliki atau menguasai garasi untuk menyimpan kendaraannya yang dibuktikan dengan surat bukti kepemilikan garasi dari kalurahan setempat.
* ayat 4 - surat bukti kepemilikan garasi sebagaimana dimaksud pada ayat (3) menjadi syarat penerbitan surat tanda nomor kendaraan bermotor.
* ayat 5 - ketentuan lebih lanjut mengenai kepemilikan kendaraan bermotor diatur dengan peraturan gubernur.

pasal 671 kuh perdata
jalan setapak, lorong atau jalan besar milik bersama dan beberapa tetangga yang digunakan untuk jalan keluar bersama, tidak boleh dipindahkan, dirusak atau dipakai untuk keperluan lain dari tujuan yang telah ditetapkan kecuali dengan izin semua yang berkepentingan.

mengapa mobil diparkir di jalan?
1.	warga memiliki lebih dari satu kendaraan, tetapi tidak memiliki garasi untuk menampung semua kendaraan. termasuk kategori ini adalah tempat kost yang tidak menyediakan garasi bagi penghuni kost.
2.	warga memiliki garasi, tapi tetap menyimpan mobil di tepi jalan. kedua sisi jalan di depan rumah dijadikan garasi tempat menyimpan mobil.
3.	bukan warga/penghuni, tapi  menyimpan/parkir menginap kendaraan di tempat ini, pagi-siang-malam bahkan berhari-hari. 
4.	yang datang memarkir mobil mengaku pengunjung/bertamu, tetapi memarkir mobil siang dan malam atau selama beberapa hari. pengunjung semestinya memarkir mobil dalam hitungan jam.

beberapa warga memasang pot bunga di depan rumah mereka karena keberatan di depan rumah diparkir mobil dari pemilik yang tidak jelas. mobil2 ini diparkir seenaknya, siang dan malam. mobil tamu boleh diparkir selama beberapa jam, tapi bukan selama 24 jam atau beberapa hari. sering terjadi adu mulut antara pemilik rumah yang keberatan mobil parkir di depan rumahnya dengan pemilik mobil pencari parkir. 

mohon bantuan pemprov dki bekerja sama dengan rt/rw setempat melakukan sosialisasi aturan-aturan hukum yang berlaku dan menertibkan masalah parkir di lokasi yang dilaporkan.

sosialisasi aturan hukum yang berlaku diperlukan demi kesadaran warga soal parkir dan demi ketertiban bersama. beberapa orang yang mengaku warga setempat ngotot dan memaksakan memarkir kedaraan di tempat kosong di pinggir jalan sesuka hati – lihat foto6.
supaya adil bagi seluruh warga, jl. dewi shinta mesti steril dari parkir mobil, sesuai ketentuan hukum yang berlaku, tidak dibolehkan memarkir kendaraan di badan jalan. 

beberapa hal di bawah ini mesti dipertimbangkan demi kepentingan seluruh warga:

1.	jika terjadi kebakaran, pergerakan mobil pemadam kebakaran akan terhambat karena terhalangi mobil-mobil yang diparkir dipinggir jalan. kondisi ini sangat berbahaya terutama di malam hari.

2.	saat terjadi kondisi darurat dan warga harus melakukan evakuasi – kendaraan yang diparkir di sisi jalan menjadi penghalang proses evakuasi warga.

3.	mobil yang berisi barang berbahaya – misalnya barang yang mudah terbakar atau narkoba. sangat beresiko bagi warga yang di depan rumahnya dijadikan tempat parkir.

4.	kerusakan/kehilangan mobil yang diparkir di jalan perumahan – siapa yang mesti bertanggung jawab, apakah warga sekitar atau satpam, rt/rw?

5.	mobil yang diparkir di depan rumah warga menghalagi mobil warga yang akan keluar dari garasi rumah. keadaan ini sangat berbahaya saat warga harus pergi ke rumah sakit dalam kondisi darurat di malam hari.

perlu diatur oleh rt/rw:

•	yang diperbolehkan parkir di badan jalan hanya tamu/pengunjung – itupun dengan durasi terbatas selama beberapa jam di siang hari.

•	saat malam hari sepanjang jalan dewi shinta harus steril dari mobil yang diparkir di pinggir jalan, demi menjaga kemungkinan terjadi situasi darurat, misalnya kebararan atau evakuasi.

•	mobil yang keluar masuk kompleks harus dimonitor secara ketat oleh satpam. hanya kendaraan warga perumahan yang terverifikasi yang boleh keluar masuk – selain warga harus menitipkan identitas di pos satpam. ditengarai kendaraan ojol, bukan warga atau mengaku keluarga/tamu warga menumpang parkir/menyimpan mobilnya di perumahan ini. biasanya mereka mulai parkir saat tengah malam.

demikian laporan ini, dibuat demi kepentingan bersama. mohon ditindaklanjuti dengan sosialisasi dan penertiban parkir di jalan perumahan sebagaimana dilaporkan.

terima kasih atas perhatian semua pemangku kepentingan.",Pemprov DKI 2
3,Kebakaran hutan di riau menyebabkan kabut asap sehingga banyak sekilah yang terpaksa meliburkan ke lgiatan pembelajaran,"Dinas Kehutanan, Pemprov Riau"
4,"Akhir-akhir ini  rawan terjadi kebakaran. Dinas Pemadam Kebakaran  agar  terus  siap, agar mobil pemadam kebakaran  cepat ke lokasi bila terjadi kebakaran jangan sampai terlambat.   Kalau bisa juga disiapkan nomor telpon yang mudah dihubungi.",Dinas Pemadam Kebakaran & Penyelamatan Kota Parepare
5,"Ektp saya ikut trbakar saat tpt saya kerja mengalami kebakaran, dan langsung segera saya urus pergantian ektp di kantor camat senapelan kota pekanbaru, pada tanggal 24 juni 2019, pada saat itu pengurus di kantor camat bilang setelah ektp selesai akan di kabarin. tapi ini udah bulan september dan blm ada kabar sama skali.
ktp a/n paulina wijaya nik 1471055512890001 kecamatan senapelan pekanbaru - riau",Dinas Kependudukan dan Pencatatan Sipil Kota Pekanbaru
6,Palangkara ya maaf sblmx saya minta maaf saya minta tolong padamkan api kebakaran dibelang rumah saya jln mahir mahar samping karoseri bak truk,Badan Penanggulangan Bencana Daerah kota Palangka Raya
7,"Tolong pak presiden, pak kapolri, pak panglima, hari ini tanggal 3 september 2019 kalimantan penuh titik api, hawa panas, asap bertambah tebal, titik pandang sudah semakin buruk,, terjunkan segera tim khusus,, agar titik api tidak bertambah, kasian pemadam dan helikopter pembawa air sudah kewalahan,, trinakasih",Kementerian Sekretariat Negara
8,"Mohon ditertibkan kendaraan roda 4 yang diparkir  di jalan didaerahperumahan komplek perindustrian jalan lapang tembak terusan katamso bandung. kendaraan - kendaraan pribadi yang di parkir di jalan umum di pemukimam tersebut sangat menggangu akses bagi warga sekitarlainnya terutama untuk proses evakuasi atau akses  bagi mobil pemadam kebakaran dan mobil ambulance pada saat terjadi situasi daruratseperti kebakaran, mobilisasi warga yang sakit, warga yang akan melahirkan dsb. 

mengacu pada pasal 671 kitab undang-undang hukum perdata (kuhper) yang berisi:

“jalan setapak, lorong atau jalan besarmilik bersama dan beberapa tetangga, yang digunakan untuk jalan keluar bersama, tidak boleh dipindahkan, dirusak atau dipakai untuk keperluan lain dari tujuan yang telah ditetapkan, kecuali dengan izin dari semua yang berkepentingan.”    

mohon agar masalah kendaraan parkir di jalan umum di jalan lapang tembak komplek perumahan industri terusan katamso bandung ditertibkan untuk mencegah ke disharmonisan hubungan antar warga di daerah tersebut. terima kasih.",Kecamatan Cibeunying Kidul Kota Bandung
9,"Jam kerja petugas pemadam kebakaran, di kota depok keterlaluan
Petugas dibebankan bekerja 360 jam selama satu bulan dan tidak mendapatkan hari libur
Setiap jam kerja lebih tidak dihitung sebagai lembur sebagaimana tertuang pada pasal 78 ayat 2 uu no.13/2003

Mohon bantuannya",Pemerintah Kota Depok
0,Lapor pengoplosan premium bersubsidi terbesar di bandar lampung. dusun siranji desa sindang sari  kecamatan tanjung bintang kabupaten lampung selatan. terjadi kebakaran ada korban 2 orang yg terbakar masih di rawat di rs bandar lampung. saya keluarga yg rumahnya terbakar. tkp sudah di garis polisi tapi sampai sekarang belum ada tindakan kepolisian kmi mohon  kapolri dan polda lampung dan awak media supaya di tuntasken ini. kenapa polisi diam ? rumah dan hlapor pengoplosan premium bersubsidi terbesar di bandar lampung. dusun siranji desa sindang sari  kecamatan tanjung bintang kabupaten lampung selatan. terjadi kebakaran ada korban 2 orang yg terbakar masih di rawat di rs bandar lampung. saya keluarga yg rumahnya terbakar. tkp sudah di garis polisi tapi sampai sekarang belum ada tindakan kepolisian kmi mohon  kapolri dan polda lampung dan awak media supaya di tuntasken ini. kenapa polisi diam ? rumah dan harta benda keluargaku habis terbakar. apa karna pengusaha ilegal ini konglomerat bisa kasi uang ama aparat supaya kasus kebakar ini diam begitu saja? nyawa orang di rumasakit bagai mana?.,Kecamatan Tanjung Bintang
1,"Assalammualaikum wr.wb
Yth, presiden republik indonesia
Yth, pemerintah provinsi riau
Kami, selaku warga riau sudah tidak sanggup lagi, merasakan dampak dari kebakaran hutan dan lahan yang berakibat timbulnya asap, yang terjadi setiap tahun, untuk itu kami berharap kepada pemerintah untuk dapat menyelesaikan dampak asap ini. Karna sudah banyak korban yang terkena ispa dan keluar rumah tidak nyaman dalam melakukan aktifitas sehari ini. Jadi kami mohon untuk segera di tanggulangi.

Salam warga riau","Dinas Kehutanan, Pemprov Riau"
2,"Jaga hutan indonesia
Bulan ini,tahun ini adalah taun yang sangat sulit bagi diri saya dan masyarakat dunia. 2019 adalah tahun terpanas. Indonesia terasa sanggat panas seperti api yang membara. Dunia pun memanas . Saya hanya sebagai warganegara biasa anak 16 tahun yang hanya inggin negaranya untuk merubah dan menambah sistem keadilan lingkungan. Kebakaran hutan terjadi di seluruh penjuru dunia dan negara yang di sebut paru paru dunia merasakannya , negara kita indonesia dan brazil. Saya  menangis saat melihat salah satu hutan kita di bakar di bantai di hancurkan menjadi abu. Saya tidak rela sanggat tidak rela, saya menangis melihat hal teragis ini . Bagaimana jika seluruh ekosistem tumbuhan hewan kita punah , bagaiman jika masyarakat suku didalamnya musnah, indonesia bukan menjadi negara yang akan banyak ragam tumbuhan hewan maupun suku lagi . Hati perasaan saya tersakiti tidak hanya di indonesia tetapi di luar negri terjadi kebakaran dengan kurun waktu yang bersamaan. Bapak presiden saya inggin mengusulkan suatu program yang dimana seluruh warga indonesia mewajibkan untuk menanam pohon pertahun. Hal ini sangat berdampak besar bagi kita semua saya inggin negara kita disebut dan dipandang lagi sebagai paru paru dunia lagi. Saya inggin negara kita hijau, kaya akan udara segar, kembali lagi seperti dahulu kala . Dan marilah membuat hati nenek moyang kita bahagia seperti dahulu kala",Direktorat Jenderal Pengelolaan Daerah Aliran Sungai dan Hutan Lindung
3,"Bagaimana hendak dijadikan ibukota negara,kota palangkaraya itu..kalau setiap tahun selalu terjadi kebakaran..penduduknya suku dayak bandel2 suka bakar2..",Badan Penanggulangan Bencana Daerah kota Palangka Raya
4,"Ijin melaporkantelah terjadi kebakaran (65)hari/tanggal   : jumat, 16 agustus 2019 pelapor : a.n. komandan pleton cpukul : 14.30 wit menerima informasi kebakaran (65) melalui telepon dari anggota pemadam a.n. robby sitania serta melalui panggilan ht.. lokasi kejadian : rt02/rw07, kampung oihu,  kel. batu merah yang terbakar : 5 unit rumah dan 1 unit motorpemilik: 1. nene enko (100%) diperuntukan untuk kos kosan 7 kamar2. la moni (100%) untuk tempat tinggal 3. la bardu 4. tesar rmh lantai 2 (60 %)5. pak aswan kerusakan bagian kaca",Dinas Pemadam Kebakaran dan Penyelamatan
5,"Ambon ijin melaporkan telah terjadi kebakaran (65) hari/tanggal   : sabtu, 17 agustus 2019pelapor : a.n. komandan pleton apukul : 13.15 wit menerima informasi dari sat polair pelabuhan urnala lokasi kejadian : dusun hurnala, negeri tulehu yang terbakar : 7 petak toko",Dinas Pemadam Kebakaran dan Penyelamatan
6,"Kini musim kemarau, dan banyak kebakaran lahan gambut, baik yang terjadi karena alam maupun oknum yang membuka lahan sehingga menyebabkan kabut asap khususnya di kota palangkaraya...
 kabut asap ini sangat membahayakan kesehatan masyarakat, dari data ispu pencemaran udara di palangkaraya sudah mencapai indikator sangat tidak sehat...
jangan lah dulu mikirin perpindahan ibokota kesini, benahi dulu penanggulangan bencana yang efektif untuk masalah kebakaran dan kabut asap ini...",Badan Penanggulangan Bencana Daerah kota Palangka Raya
7,"Dengan hormat,
di lingkungan kami di taman palem lestari blok c2, c3 dan c4 selalu terganggu oleh pembakaran sampah yang dilakukan oleh warga rusun pemadam kebakaran. pembakaran yang dilakukan adalah setiap jam 7 sampai jam 8 pagi. mohon instansi terkait membantu untuk menertibkan mengingat polusi udara jakarta sudah sekian parah. terima kasih",Pemprov DKI 2
8,"Palangkaraya terbakar,kami sudah tidak mendapatkan hak asasi untuk bernafas dengan bebas dan layak,karena asap dari kebakaran lahan yang masif akibat ulah manusia,kasihan balita dan anak2 terancam menderita kanker akibat asap beracun yang sudah mendera lebih dari 1 bulan,mohon ambil tindakan yang tegas dan masif juga,jangan biarkan kami mati perlahan,evakuasi,gencarkan tni polri untuk memadamkan api,sebelum semuanya terlambat seperti tahun 2015 yang mengerikan itu,kalau tidak bisa menyelesaikan dengan sumber daya negeri ini,setidaknya bapak presiden berkunjung ke palangkaraya,temani kami,jangan hanya datang saat euforia kampanye,tapi datang lah juga disaat susah",Badan Penanggulangan Bencana Daerah kota Palangka Raya
9,"""provinsi : jawa barat. 
                        kabupaten/kota : garut. 
                        kecamatan : cisompet. 
                        kelurahan/desa : cisompet. 
                        alamat : kp. cisompet kaum. 
                        nama diadukan : eman sulaeman. 
                        kebakaran 2 buah rumah !!
1. rumah bapak eman (55 tahun), duda yang bekerja sebagai buruh harian dengan tanggungan 6 orang anak (piatu), 4 diantaranya masih usia sekolah
2. rumah ibu ucu armilah (48 tahun), janda yang bekerja serabutan yang tinggal bersama anak menantu dan cucunya, 3 kepala keluarga dengan jumlah total 10 orang dalam 1 rumah.",DINAS PERUMAHAN DAN PEMUKIMAN KABUPATEN GARUT
0,"Laporan prihal pembangunan jembatan penghubung antar gedung sd muhammadiyah 18 kebun bungan palembang tidak ada permintaan persetujuan tetangga rt 15

sebelumnya sudah dibuatkan laporan prihal pembangunan jembatan penghubung antar gedung ini tetapi tidak ada respon dari dinas yang terkait setelah di disposisi dan isi laporan kami ini pun masih sama terkait pembangunan jembatan tsb

saat ini proses pembangunan jembatan tahap pemasangan rangka besi untuk pengecoran dan mal untuk coran sdh terpasang melintasi jalan umum masyarakat, kami juga sudah bertanya kepada pihak sekolah dengan jawaban proses imb sedang diproses di kelurahan kebun bunga dan kecamatan sukarami dimasa yang berkepetingan sedang melaksanakan ibadah haji. jawaban dari pihak sekolah diatas proses pembuatan imb baru pada tahap adm kelurahan dan kecamatan belum sampai dengan proses masuk berkas ke pelayanan perizinan terpadu satu pintu (ptsp) kota palembang. salah satu kelengkapan imb pun ada ttd persetujuan tetangga dan rt setempat, ttd persetujuan ini pun tidak ada kami tetangga diminta untuk ttd dari pihak sekolah. bagaimana proses adm imb diterbitkan jika kelengkapannya pun tidak ada.

kami pun sudah komunikasi dengan pihak kelurahan kebun bunga agar dibuatkan pengaduan tertulis dan membuat pengaduan tertulis juga ke dinas tata kota palembang terkait pembangunan jembatan. 

pembangunan jembatan penghubung ini melintasi diatas lorong jalan masyarakat bukan soal kami sebagai tetangga tidak setuju atas pembangunan ini tapi pembangunan jembatan ini mesti banyak kajian yang dilakukan seperti kajian lingkungan, struktur bangunan dan dinas kebakaran dll. apabila semua kajian sudah dilakukan serta mendapatkan izin resmi dari pemkot palembang kami tidak akan membuat pengaduan ke web ini 2 kali.

kami masih optimis dengan adanya layanan web lapor untuk pengaduan masyarakat ini dibuat untuk tertibnya semua dinas yang berwenang serta tidak ada masyarakat merasa dirugikan.

kami masukan link dibawah ini :
1. link web lapor sebelumnya 
https://www.lapor.go.id/laporan/detil/pembangunan-jembatan-penghubung-sd-muhamadiyah-tidak-ada-persetujuan-atau-meminta-izin-kepada-tetangga-sekitar-gedung

2. link media online
https://sumeks.co/bangun-jembatan-lintasi-jalan/",Dinas PUPR Kota Palembang
1,"Saya ingin mengadukan perihal polusi asap yang mengganggu dan membahayakan kesehatan penduduk sekitar. asap disebabkan oleh pembakaran sampah, kayu, arang, sabut kelapa, dll oleh oknum sekolah, oknum yang berjualan di pasar, terutama anak-anak di sekitar sdn negeri pagi 03 tanah sereal, rt 01 / rw 10, jakarta barat. pembakaran dilakukan dari sore sampai subuh (01:00 - 04:00 wib).

mohon bantuan instansi pemerintah terkait untuk membantu menertibkan dan diberikan penyuluhan karena selain mengganggu masyarakat sekitar, pembakaran tersebut berpotensi menimbulkan kebakaran.",Pemprov DKI 2
2,"Assalamu alaikum wr. Wb.
Terkait dengan bantuan uang senilai 10 juta rupiah dari pemerintah kabupaten gorontalo yang akan di berikan kepada korban kebakaran yang ada di desa tabongo timur, tepatnya di dusun hutakiki. Sampai sekarang belum ada kabar kelanjutannya. Padahal saya sudah mengurus berkas tersebut di kantor dinas sosial kabupaten gorontalo sejak 2 minggu yang lalu.. Apakah harus melapor di kantor bupati secara langsung? Mohon penjelasannya",Dinas Sosial Kabupaten Gorontalo
3,"Selamat pagi/siang/malam bapak/ibu.
saya dari anggota indonesian escorting ambulance (IEA) ingin mengajukan legalitas kami sebagai unit pemandu dan pengawalan ambulance.
karena kami masih sering di ""stop"" pihak pengatur lalu lintas.
padahal kami bertujuan untuk:
1. membantu pihak kepolisian dalam melakukan ""pengawalan kendaraan priotas dan emergency untuk membuka jalan, memangkas waktu tiba dan menolong nyawa pasien"".
2. banyak dari ""driver/sopir ambulance dan pemadam kebakaran yang tidak tau tujuan/lokasi.
3. ""banyak masyarakat yang tidak tau/tidak mengerti tentang aturan kendaraan emergency"",padahal sudah ada di atur dalam uu ri.

mohon bantuan-nya.
terima kasih",Kepolisian Negara Republik Indonesia
4,"Kepada yth.
bapak lurah keagungan
qq : bapak camat taman sari 
qq : bapak walikota jakarta barat
qq : bapak gubernur dki jakarta
qq : satpol pp dki jakarta
qq : opal pln dki jakarta

mohon ijin untuk menyampaikan asprirasi warga di jl keamanan kelurahan keagungan jakarta barat  mengenai pedagang yang berjualan diatas jalan faslitas jalan umum dan fasilitas trotoar pejalan kaki , berdagang sekitar jam 18.00 s/d 23.00 dan juga memakai aliran listrik liar yang disalurkan ke pedagang pedagang , mohon segera di tindak , mohon aparat yang berwenang untuk menjalankan sesuai peraturan - peraturan yang ada ; sesuai sop yang diberikan untuk menata wilayah agar wilayah terhindar dari kebakaran yang disebabkan dari kabel kabel listrik liar  dan tidak diperkenankan berdagang di fasilitas umum yang bertentangan dengan perda perda yang telah dibuat untuk supaya tidak dilanggar demi kenyamanan kita bersama.

an 
warga keagungan",Pemprov DKI 2
