report#,token,tag
5,hijau,O
5,disamping,O
5,polsubsektor,O
5,sawangan,U-LOCATION
5,),O
5,memohon,O
5,diperketatnya,O
5,keamanan,O
5,di,O
5,malam,B-TIME
5,hari,L-TIME
5,",",O
5,dikarenakan,O
5,belakangan,O
5,ini,O
5,sering,O
5,terjadi,O
5,penggunaan,O
5,serta,O
5,tawuran,B-DESC
5,petasan,L-DESC
5,antar,O
5,anak-anak,O
5,.,O
6,pohon,B-DESC
6,hampir,I-DESC
6,tumbang,L-DESC
6,yang,O
6,bersinggungan,O
6,dengan,O
6,kabel,O
6,listrik,O
6,tepatnya,O
6,di,O
6,kabupaten,B-LOCATION
6,nganjuk,L-LOCATION
6,",",O
6,kecamatan,B-LOCATION
6,sukomoro,L-LOCATION
6,",",O
6,jakarta,B-LOCATION
6,timur,L-LOCATION
6,pom,B-LOCATION
6,bensin,I-LOCATION
6,sukomoro,I-LOCATION
6,selatan,L-LOCATION
6,jalan,O
6,mohon,O
6,untuk,O
6,segera,O
6,di,O
6,tindak,O
6,lanjuti,O
6,mengingat,O
6,sekarang,O
6,adalah,O
6,musim,O
6,penghujan,O
6,yang,O
6,rawan,O
6,angin,O
6,besar,O
6,yang,O
6,dapat,O
6,merobohkan,O
6,pohon,O
6,tersebut,O
6,terima,O
6,kasih,O
7,pada,O
7,hari,O
7,minggu,U-TIME
7,",",O
7,8,B-TIME
7,november,I-TIME
7,2020,L-TIME
7,",",O
7,di,O
7,komplek,B-LOCATION
7,vila,I-LOCATION
7,norin,L-LOCATION
7,",",O
7,rt01/04,O
7,ciganjur,U-LOCATION
7,",",O
7,cipedak,U-LOCATION
7,",",O
7,jagakarsa,U-LOCATION
7,",",O
7,jakarta,B-LOCATION
7,selatan,L-LOCATION
7,",",O
7,saat,O
7,hujan,O
7,deras,O
7,kurang,O
7,lebih,O
7,30,O
7,menit,O
7,terjadi,B-DESC
7,banjir,L-DESC
7,kembali,O
7,.,O
7,daerah,O
7,yang,O
7,lebih,O
7,rendah,O
7,dari,O
7,kami,O
7,bahkan,O
7,tidak,O
7,kebanjiran,U-DESC
7,.,O
7,karena,O
7,adanya,O
7,dinding,O
7,sungai,O
7,yang,O
7,lebih,O
7,tinggi,O
7,",",O
7,namun,O
7,bagi,O
7,kami,O
7,dinding,O
7,tersebut,O
7,menahan,O
7,air,O
7,dilingkungan,O
7,kami,O
7,.,O
7,lingkungan,O
7,kami,O
7,seperti,O
7,kolam,O
7,kalau,O
7,banjir,U-DESC
7,.,O
7,kami,O
7,mohon,O
7,bisa,O
7,segera,O
7,dilakukan,O
7,realisasi,O
7,perbaikan,O
7,drainase,O
7,dilingkungan,O
7,kami,O
7,supaya,O
7,tidak,O
7,terjadi,O
7,banjir,U-DESC
7,lagi,O
7,.,O
7,ini,O
7,pengaduan,O
7,saya,O
7,yang,O
7,ke,O
7,5,O
7,kali,O
7,.,O
7,pelaporan,O
7,ini,O
7,penting,O
7,untuk,O
7,update,O
7,tentang,O
7,kondisi,O
7,terkini,O
7,tentang,O
7,banjir,U-DESC
7,.,O
7,atas,O
7,perhatiannya,O
7,terima,O
7,kasih,O
8,ada,O
8,pohon,B-DESC
8,tumbang,L-DESC
8,yang,O
8,menimpa,O
8,kabel,O
8,telekomunikasi,O
8,di,O
8,jalan,B-LOCATION
8,.,I-LOCATION
8,raya,I-LOCATION
8,sinabung,I-LOCATION
8,18,L-LOCATION
8,",",O
8,kelurahan,B-LOCATION
8,.,I-LOCATION
8,gunung,L-LOCATION
8,",",O
8,kecamatan,B-LOCATION
8,.,I-LOCATION
8,kebayoran,I-LOCATION
8,baru,L-LOCATION
8,",",O
8,jaksel,U-LOCATION
8,.,O
8,saya,O
8,sudah,O
8,mencoba,O
8,hubungi,O
8,petugas,O
8,pln,O
8,",",O
8,tapi,O
8,ternyata,O
8,setelah,O
8,dicek,O
8,petugas,O
8,",",O
8,kabel,O
8,tersebut,O
8,adalah,O
8,kabel,O
8,jaringan,O
8,milik,O
8,telekomunikasi,O
8,",",O
8,dan,O
8,saya,O
8,harus,O
8,membuat,O
8,laporan,O
8,kembali,O
8,.,O
8,mohon,O
8,bantuannya,O
8,agar,O
8,dapat,O
8,segera,O
8,ditangani,O
8,",",O
8,karena,O
8,takut,O
8,membahayakan,O
8,area,O
8,sekitar,O
8,.,O
9,telah,O
9,terjadi,O
9,bencana,O
9,alam,O
9,banjir,O
9,dan,O
9,tanah,O
9,longsor,O
9,di,O
9,smp,O
9,satu,O
9,atap,O
9,negeri,O
9,2,O
9,sianjur,U-LOCATION
9,mulamula,O
9,yang,O
9,menghancurkan,O
9,laboratorium,O
9,ipa,O
9,dan,O
9,menggenangi,O
9,rumah,O
9,dinas,O
9,guru,O
9,dengan,O
9,lumpur,O
9,pada,O
9,hari,B-TIME
9,rabu,L-TIME
9,tanggal,O
9,7,B-TIME
9,maret,I-TIME
9,2018,L-TIME
9,pukul,B-TIME
9,23,I-TIME
9,wib,L-TIME
9,.,O
9,saya,O
9,selaku,O
9,operator,O
9,sekolah,O
9,sudah,O
9,mensinkronisasikan,O
9,kondisi,O
9,sarpras,O
9,yang,O
9,rusak,O
9,pada,O
9,hari,B-TIME
9,ini,L-TIME
9,kamis,U-TIME
9,",",O
9,tanggal,B-TIME
9,8,I-TIME
9,maret,I-TIME
9,2018,L-TIME
9,sekitar,O
9,pukul,B-TIME
9,19.5,I-TIME
9,wib,L-TIME
9,.,O
9,mohon,O
9,diperhatikan,O
9,kesejahteraan,O
9,kami,O
9,guru,O
9,yang,O
9,mengajar,O
9,di,O
9,tempat,O
9,ini,O
9,karena,O
9,tempat,O
9,ini,O
9,terpencil,O
9,dan,O
9,rawan,O
9,bencana,O
9,.,O
9,dari,O
9,tahun,B-TIME
9,2015,L-TIME
9,saya,O
9,bekerja,O
9,disini,O
9,belum,O
9,pernah,O
9,ada,O
9,tunjangan,O
9,terpencil/rawan,O
9,bencana,O
9,turun,O
9,untuk,O
9,guru,O
9,disini,O
9,.,O
9,sedangkan,O
9,biaya,O
9,transportasi,O
9,kesini,O
9,sangat,O
9,mahal.gaji,O
9,kami,O
9,guru-guru,O
9,habis,O
9,hanya,O
9,untuk,O
9,biaya,O
9,transportasi,O
9,ke,O
9,kabupaten,O
9,untuk,O
9,pengurusan,O
9,administrasi,O
9,guru,O
9,.,O
9,mohon,O
9,untuk,O
9,segera,O
9,ditindak,O
9,lanjuti,O
9,.,O
9,untuk,O
9,kali,O
9,ini,O
9,paling,O
9,tidak,O
9,kami,O
9,berharap,O
9,santunan,O
9,sosial,O
9,bisa,O
9,turun,O
9,untuk,O
9,masing-masing,O
9,guru,O
9,jika,O
9,tunjangan,O
9,terpencil,O
9,dan,O
9,rawan,O
9,bencana,O
9,masih,O
9,belum,O
9,bisa,O
9,turun,O
9,juga,O
9,.,O
9,hanya,O
9,itu,O
9,harapan,O
9,penghiburan,O
9,kami,O
9,yang,O
9,mengajar,O
9,di,O
9,tempat,O
9,terpencil,O
9,dan,O
9,rawan,O
9,bencana,O
9,ini,O
10,saya,O
10,ingin,O
10,bertanya,O
10,mengenai,O
10,kegiatan,O
10,ospek,O
10,yang,O
10,ada,O
10,di,O
10,perguruan,O
10,tinggi,O
10,.,O
10,mengapa,O
10,sampai,O
10,saat,O
10,ini,O
10,kegiatan,O
10,ospek,O
10,tersebut,O
10,selalu,O
10,berhubungan,O
10,dengan,O
10,kekerasan,B-DESC
10,",",I-DESC
10,penindasan,I-DESC
10,dan,I-DESC
10,pelecehan,I-DESC
10,terhadap,I-DESC
10,mahasiswa,I-DESC
10,baru,L-DESC
10,yang,O
10,ingin,O
10,menuntut,O
10,ilmu,O
10,?,O
10,bahkan,O
10,di,O
10,salah,O
10,satu,O
10,politeknik,O
10,negeri,O
10,yang,O
10,ada,O
10,di,O
10,balikpapan,U-LOCATION
10,masih,O
10,ada,O
10,tindakan-tindakan,O
10,di,O
10,dalam,O
10,kegiatan,O
10,tersebut,O
10,yang,O
10,bersifat,O
10,menindas,O
10,",",O
10,melecehkan,O
10,serta,O
10,semena-mena,O
10,yang,O
10,dilakukan,O
10,oleh,O
10,para,O
10,senior,O
10,.,O
10,jika,O
10,hal,O
10,seperti,O
10,ini,O
10,terus,O
10,berlangsung,O
10,",",O
10,maka,O
10,akan,O
10,banyak,O
10,mahasiswa,O
10,yang,O
10,merasa,O
10,tertindas,O
10,dan,O
10,terintimidasi,O
10,.,O
10,bahkan,O
10,beberapa,B-DESC
10,mahasiswa,I-DESC
10,baru,I-DESC
10,ada,I-DESC
10,yang,I-DESC
10,jatuh,I-DESC
10,sakit,I-DESC
10,dan,I-DESC
10,sampai,I-DESC
10,jatuh,I-DESC
10,pingsan,L-DESC
10,karena,O
10,selalu,O
10,dijemur,O
10,di,O
10,bawah,O
10,terik,O
10,sinar,O
10,matahari,O
10,dan,O
10,kegiatan-kegiatan,O
10,lainnya,O
10,.,O
10,saya,O
10,mohon,O
10,agar,O
10,hal,O
10,seperti,O
10,ini,O
10,segera,O
10,ditindaklanjuti,O
10,",",O
10,agar,O
10,para,O
10,siswa,O
10,dan,O
10,mahasiswa,O
10,baru,O
10,tidak,O
10,merasa,O
10,takut,O
10,saat,O
10,baru,O
10,masuk,O
10,ke,O
10,sekolah,O
10,ataupun,O
10,perguruan,O
10,tinggi,O
10,.,O
10,terima,O
10,kasih,O
10,.,O
11,rumah,B-DESC
11,kami,I-DESC
11,mengalami,I-DESC
11,musibah,I-DESC
11,kebakaran,L-DESC
11,tanggal,B-TIME
11,19,I-TIME
11,september,I-TIME
11,2019,L-TIME
11,sekitar,O
11,2,B-TIME
11,minggu,L-TIME
11,lalu,O
11,kami,O
11,meminta,O
11,untuk,O
11,aliran,O
11,listrik,O
11,kembali,O
11,dipulihkan,O
11,oleh,O
11,pln,O
11,lewat,O
11,telepon,O
11,123,O
11,tapi,O
11,sampai,O
11,saat,O
11,ini,O
11,",",O
11,belum,O
11,ada,O
11,satupun,O
11,petugas,O
11,yang,O
11,datang,O
11,untuk,O
11,memeriksa,O
11,.,O
11,sudah,O
11,4,O
11,kali,O
11,laporan,O
11,dilayangkan,O
11,.,O
11,berikut,O
11,nomor,O
11,laporannya,O
11,:,O
11,21ccs9s,O
11,",",O
11,a1cmxne,O
11,",",O
11,e1crzqy,O
11,",",O
11,e1csame,O
11,.,O
11,mohon,O
11,bantuan,O
11,bapak,O
11,ibu,O
11,dari,O
11,pihak,O
11,terkait,O
11,untuk,O
11,kami,O
11,mendapatkan,O
11,kejelasan,O
11,kenapa,O
11,belum,O
11,datang,O
11,juga,O
11,petugas,O
11,pln,O
11,.,O
12,saya,O
12,ingin,O
12,melaporkan,O
12,",",O
12,tolong,O
12,keamanan,O
12,di,O
12,seluruh,O
12,bus,O
12,transjakarta,O
12,ditingkatkan,O
12,karena,O
12,mulai,O
12,banyak,B-DESC
12,pencopet,L-DESC
12,yang,O
12,masuk,O
12,.,O
12,terima,O
12,kasih,O
12,.,O
13,selamat,O
13,pagi,O
13,",",O
13,saya,O
13,mau,O
13,melaporkan,O
13,2,O
13,hal,O
13,.,O
13,yang,O
13,pertama,O
13,keadaan,B-DESC
13,jalan,I-DESC
13,yang,I-DESC
13,rusak,L-DESC
13,di,O
13,beberapa,O
13,di,O
13,daerah,O
13,jalan,B-LOCATION
13,karbela,I-LOCATION
13,timur,L-LOCATION
13,",",O
13,setiabudi,U-LOCATION
13,",",O
13,kuningan,U-LOCATION
13,",",O
13,dekat,O
13,rumah,B-LOCATION
13,sakit,I-LOCATION
13,mata,I-LOCATION
13,aini,L-LOCATION
13,.,O
13,jalan,O
13,sudah,O
13,tidak,O
13,pernah,O
13,di,O
13,asli,O
13,tetapi,O
13,palsu,O
13,sejak,O
13,10,O
13,tahun,O
13,lebih,O
13,",",O
13,keadaan,O
13,jalan,O
13,sudah,O
13,rusak,O
13,",",O
13,bahkan,O
13,saya,O
13,lihat,O
13,yang,O
13,di,O
13,asli,O
13,tetapi,O
13,palsu,O
13,jalan,O
13,gang2,O
13,kecil,O
13,yang,O
13,belum,O
13,rusak,O
13,.,O
13,hal,O
13,kedua,O
13,",",O
13,tolong,O
13,dibuatkan,O
13,bumper,O
13,speed,O
13,atau,O
13,polisi,O
13,tidur,O
13,di,O
13,jalan,B-LOCATION
13,karbela,I-LOCATION
13,timur,L-LOCATION
13,",",O
13,hal,O
13,ini,O
13,dikarenakan,O
13,banyak,O
13,kendaraan,O
13,yang,O
13,kebut,O
13,sesuka,O
13,hati,O
13,",",O
13,terutama,O
13,motor,O
13,.,O
13,karena,O
13,lingkungan,O
13,banyak,O
13,pejalan,O
13,kaki,O
13,dan,O
13,anak2,O
13,.,O
13,dan,O
13,sering,O
13,kali,O
13,terjadi,O
13,penjambretan,O
13,atau,O
13,copet,O
13,yang,O
13,menggunakan,O
13,motor,O
13,karena,O
13,jalan,O
13,track,O
13,lurus,O
13,yang,O
13,memudahkan,O
13,penjambret,O
13,melarikan,O
13,diri,O
13,",",O
13,saya,O
13,berharap,O
13,dengan,O
13,dibuatkan,O
13,bumper,O
13,speed,O
13,dapat,O
13,mengurangi,O
13,kendaraan,O
13,yang,O
13,kebut,O
13,dan,O
13,tindak,O
13,kejahatan,O
13,.,O
13,saya,O
13,sebagai,O
13,warga,O
13,dki,B-LOCATION
13,jakarta,L-LOCATION
13,sangat,O
13,peduli,O
13,akan,O
13,hal,O
13,ini,O
13,",",O
13,semoga,O
13,pemerintah,O
13,dapat,O
13,segera,O
13,merealisasikannya,O
13,.,O
13,atas,O
13,perhatian,O
13,dan,O
13,kerja,O
13,samanya,O
13,saya,O
13,ucapkan,O
13,banyak,O
13,terima,O
13,kasih,O
13,.,O
14,ada,O
14,pohon,B-DESC
14,tumbang,L-DESC
14,di,O
14,dago,B-LOCATION
14,atas,L-LOCATION
14,simpang,O
14,di,O
14,indomaret,O
14,jalan,B-LOCATION
14,dago,I-LOCATION
14,298,L-LOCATION
14,bandung,U-LOCATION
14,kena,O
14,kabel,O
14,listrik,O
14,ketahan,O
14,mobil,O
14,truck,O
15,saya,O
15,lita,U-LOCATION
15,",",O
15,saya,O
15,salah,O
15,satu,O
15,kerabat,O
15,dari,O
15,keluarga,O
15,pelapor,O
15,atas,O
15,nama,O
15,reza,B-PERSON
15,desita,I-PERSON
15,yang,O
15,melaporkan,O
15,bahwa,O
15,salah,O
15,satu,O
15,dari,O
15,anggota,B-DESC
15,keluarganya,I-DESC
15,melakukan,I-DESC
15,tindak,I-DESC
15,kekerasan,L-DESC
15,yang,O
15,hampir,O
15,sering,O
15,terjadi,O
15,terhadap,O
15,keluarga,O
15,lainnya,O
15,.,O
15,informasi,O
15,yang,O
15,di,O
15,dapat,O
15,keluarga,O
15,dari,O
15,saudari,O
15,reza,B-PERSON
15,desita,L-PERSON
15,yang,O
15,di,O
15,laporkan,O
15,ini,O
15,mengalami,B-DESC
15,gangguan,I-DESC
15,sikis,I-DESC
15,dan,I-DESC
15,mental,L-DESC
15,yang,O
15,terjadi,O
15,",",O
15,kejadian,O
15,yang,O
15,sering,O
15,di,O
15,lakukan,O
15,yaitu,O
15,tindak,O
15,emosional,O
15,yang,O
15,tidak,O
15,stabil,O
15,sehingga,O
15,terjadi,O
15,tindak,O
15,cekcok,B-DESC
15,dan,O
15,ada,O
15,beberapa,O
15,tindak,O
15,kekerasan,O
15,lain,O
15,seperti,O
15,pelemparan,B-DESC
15,benda,I-DESC
15,tumpul,L-DESC
15,",",O
15,perusakan,B-DESC
15,di,I-DESC
15,lingkungan,I-DESC
15,warga,L-DESC
15,dan,O
15,perusakan,B-DESC
15,barang²,I-DESC
15,di,I-DESC
15,dalam,I-DESC
15,rumah,L-DESC
15,.,O
15,pihak,O
15,dari,O
15,keluarga,O
15,yang,O
15,terkait,O
15,sudah,O
15,berusaha,O
15,untuk,O
15,mencoba,O
15,mengobati,O
15,ke,O
15,pak,O
15,ustad,O
15,untuk,O
15,di,O
15,ruqyah,O
15,dan,O
15,ke,O
15,puskesmas,O
15,.,O
15,untuk,O
15,berobat,O
15,kerumah,O
15,sakit,O
15,keluarga,O
15,memiliki,O
15,kendala,O
15,terhadap,O
15,biaya,O
15,.,O
15,jadi,O
15,saudari,O
15,reza,B-PERSON
15,desita,L-PERSON
15,memohon,O
15,untuk,O
15,bantuan,O
15,dari,O
15,pemerintah,O
15,provinsi,O
15,terkait,O
15,untuk,O
15,bantuan,O
15,penanganan,O
15,terhadap,O
15,saudarinya,O
15,tersebut,O
15,.,O
15,karena,O
15,ini,O
15,sudah,O
15,membuat,O
15,resah,O
15,keluarga,O
15,yang,O
15,menjadi,O
15,korban,O
15,dan,O
15,lingkungan,O
15,sekitar,O
15,.,O
16,tolong,O
16,film,O
16,dilan,O
16,1991,O
16,dihentikan,O
16,penayangan,O
16,nya,O
16,karena,O
16,banyak,O
16,yang,O
16,membawa,O
16,anak,O
16,kecil,O
16,di,O
16,bawah,O
16,umur,O
16,untuk,O
16,menonton,O
16,.,O
16,film,O
16,nya,O
16,sangat,O
16,tidak,O
16,mendidik,O
16,.,O
16,adegan,O
16,kekerasan,B-DESC
16,geng,I-DESC
16,motor,L-DESC
16,serang,O
16,",",O
16,cium,B-DESC
16,perempuan,I-DESC
16,secara,I-DESC
16,paksa,L-DESC
16,",",O
16,mesra,O
16,mesraan,O
16,bukan,O
16,muhrim,O
16,.,O
17,saya,O
17,meminjam,O
17,uang,O
17,secara,O
17,online,O
17,di,O
17,aplikasi,O
17,dana,O
17,cepat,O
17,",",O
17,bagian,O
17,petir,O
17,dompet,O
17,dan,O
17,dana,O
17,pop,O
17,.,O
17,jangka,O
17,waktu,O
17,pinjaman,O
17,sesuai,O
17,perjanjian,O
17,di,O
17,aplikasi,O
17,7,O
17,hari,O
17,.,O
17,namun,O
17,yang,O
17,menjadi,O
17,masalah,O
17,:,O
17,1,O
17,saat,O
17,pinjaman,O
17,memasuki,O
17,hari,O
17,ke,O
17,5,O
17,",",O
17,debt,O
17,collector,O
17,sudah,O
17,menangih,O
17,melalui,O
17,telpon,O
17,dengan,O
17,berbagai,O
17,ancaman,O
17,",",O
17,kekerasan,O
17,",",O
17,kata-kata,O
17,kasar,O
17,dan,O
17,tidak,O
17,sopan,O
17,.,O
17,alasan,O
17,pihak,O
17,debt,O
17,colector,O
17,bahwa,O
17,jangka,O
17,waktu,O
17,pinjaman,O
17,hanya,O
17,5,O
17,hari,O
17,",",O
17,padahal,O
17,sesuai,O
17,perjanjian,O
17,adalah,O
17,7,O
17,hari,O
17,sebagaimana,O
17,tertera,O
17,di,O
17,aplikasi,O
17,.,O
17,2,O
17,saat,O
17,saya,O
17,terlambat,O
17,membayar,O
17,pinjaman,O
17,1,O
17,hari,O
17,",",O
17,identitas,O
17,saya,O
17,sdh,O
17,dipublikasikan,O
17,ke,O
17,kontak,O
17,hp,O
17,di,O
17,media,O
17,whatsapp,O
17,",",O
17,padahal,O
17,saya,O
17,sdh,O
17,berusaha,O
17,mengajukan,O
17,proses,O
17,negosiasi,O
17,hutang,O
17,",",O
17,namun,O
17,nomor,O
17,telepon,O
17,cs,O
17,yang,O
17,tercantum,O
17,di,O
17,aplikasi,O
17,tidak,O
17,aktif,O
17,",",O
17,meskipun,O
17,sdh,O
17,dicoba,O
17,kembali,O
17,di,O
17,hari,O
17,dan,O
17,jam,O
17,yang,O
17,berbeda,O
17,3,O
17,besaran,O
17,bunga,O
17,yang,O
17,tercantum,O
17,di,O
17,aplikasi,O
17,tidak,O
17,sama,O
17,dengan,O
17,jumlah,O
17,tagihan,O
17,yang,O
17,muncul,O
17,di,O
17,aplikasi,O
17,setelah,O
17,proses,O
17,transfer,O
17,uang,O
17,ke,O
17,rekening,O
17,.,O
17,4,O
17,setelah,O
17,saya,O
17,telusuri,O
17,",",O
17,ternyata,O
17,aplikasi,O
17,dana,O
17,cepat,O
17,adalah,O
17,pembiayaan,O
17,ilegal,O
17,",",O
17,tidak,O
17,terdaftar,O
17,di,O
17,ojk,O
17,dan,O
17,afpi,O
17,.,O
17,memohon,O
17,dengan,O
17,sangat,O
17,kepada,O
17,pihak,O
17,ojk,O
17,untuk,O
17,memblokir,O
17,aplikasi,O
17,tersebut,O
17,",",O
17,dan,O
17,menghapus,O
17,seluruh,O
17,data2,O
17,kreditur,O
17,di,O
17,aplikasi,O
17,tersebut,O
17,.,O
17,terima,O
17,kasih,O
18,kepada,O
18,dinas,O
18,lingkungan,O
18,hidup,O
18,kabupaten,B-LOCATION
18,ponorogo,L-LOCATION
18,melaporkan,O
18,",",O
18,adanya,B-DESC
18,pohon,I-DESC
18,tumbang,L-DESC
18,di,O
18,jalan,B-LOCATION
18,.,I-LOCATION
18,raden,I-LOCATION
18,saleh,L-LOCATION
18,",",O
18,kecamatan,B-LOCATION
18,.,I-LOCATION
18,ponorogo,L-LOCATION
18,",",O
18,kabupaten,B-LOCATION
18,.,I-LOCATION
18,ponorogo,L-LOCATION
18,.,O
18,mohon,O
18,segera,O
18,ditangani,O
18,terimakasih~,O
19,mengingat,O
19,semakin,O
19,banyaknya,O
19,pemberitaan,O
19,di,O
19,media,O
19,massa,O
19,tentang,O
19,kekerasan,O
19,seksual,O
19,pada,O
19,anak,O
19,",",O
19,ini,O
19,salah,O
19,satunya,O
19,adalah,O
19,akibat,O
19,dari,O
19,sistem,O
19,perekrutan,O
19,tenaga,O
19,pendidik,O
19,yang,O
19,kurang,O
19,memiliki,O
19,pengalaman,O
19,dalam,O
19,mendidik,O
19,anak,O
19,",",O
19,ditambah,O
19,lagi,O
19,orangtua,O
19,yang,O
19,berlomba-lomba,O
19,mengumpulkan,O
19,materi,O
19,.,O
19,oleh,O
19,sebab,O
19,itu,O
19,sudah,O
19,selayaknya,O
19,kementerian,O
19,pendidikan,O
19,dan,O
19,kebudayaan,O
19,betul-betul,O
19,menyeleksi,O
19,calon,O
19,ptk,O
19,",",O
19,karena,O
19,sudah,O
19,bukan,O
19,rahasia,O
19,lagi,O
19,setiap,O
19,ada,O
19,perekrutan,O
19,tenaga,O
19,pendidik,O
19,selalu,O
19,ada,O
19,indikasi,O
19,main,O
19,di,O
19,belakang,O
19,layar,O
19,.,O
19,bagaimana,O
19,pendidikan,O
19,di,O
19,indonesia,O
19,akan,O
19,maju,O
19,jika,O
19,dalam,O
19,perekrutan,O
19,masih,O
19,ada,O
19,kkn,O
19,.,O
19,guru,O
19,jangan,O
19,hanya,O
19,mengejar,O
19,materi,O
19,tanpa,O
19,peduli,O
19,moral,O
19,dan,O
19,spritual,O
19,peserta,O
19,didik,O
19,.,O
19,mohon,O
19,menjadi,O
19,perhatian,O
19,.,O
20,tabe,O
20,ada,O
20,tadi,O
20,keluhan,O
20,masyarakat,O
20,tekolabbua,O
20,ada,O
20,pohon,O
20,tumbang,O
20,yang,O
20,membahayakan,O
20,warga,O
20,di,O
20,karenakan,O
20,adanya,O
20,kabel,O
20,pln,O
20,di,O
20,area,O
20,sekitar,O
20,pohon,O
20,",",O
20,untuk,O
20,dinas,O
20,terkait,O
20,mohon,O
20,segera,O
20,menindak,O
20,lanjuti,O
21,mohon,O
21,bantuannya,O
21,pak,O
21,polisi,O
21,wilayah,O
21,tanjung,B-LOCATION
21,priok,L-LOCATION
21,jakarta,B-LOCATION
21,utara..,L-LOCATION
21,daerah,O
21,tempat,O
21,pemukiman,O
21,saya,O
21,di,O
21,warakas,B-LOCATION
21,gang,I-LOCATION
21,21,L-LOCATION
21,sudah,O
21,2,O
21,malam,O
21,belakangan,O
21,ini,O
21,sering,O
21,terjadi,O
21,tawuran..,U-DESC
21,tawuran,U-DESC
21,sudah,O
21,menggunakan,O
21,senjata,B-WEAPON
21,tajam,L-WEAPON
21,dan,O
21,bom,B-WEAPON
21,molotov..,L-WEAPON
21,rumah,O
21,saya,O
21,sudah,O
21,terkena,O
21,sasarannya..,O
21,salah,O
21,satu,O
21,rolling,O
21,door,O
21,saya,O
21,tersabet,O
21,senjata,O
21,tajam,O
21,.,O
22,kepada,O
22,yang,O
22,terhormat,O
22,pemerintah,O
22,provinsi,B-LOCATION
22,dki,I-LOCATION
22,jakarta,L-LOCATION
22,.,O
22,apalagi,O
22,yang,O
22,kurang,O
22,jelas/lenkap,O
22,dari,O
22,laporan,O
22,terdahulu,O
22,kalau,O
22,tidak,O
22,salah,O
22,hal,O
22,dimaksud,O
22,sudah,O
22,tiga,O
22,kali,O
22,saya,O
22,laporkan,O
22,",",O
22,kita,O
22,semua,O
22,sepakat,O
22,tidak,O
22,menghendaki,O
22,ada,O
22,korban,O
22,dulu,O
22,baru,O
22,bertindak.yang,O
22,dilaporkan,O
22,adalah,O
22,lima,O
22,pohon,B-DESC
22,tumbuh,I-DESC
22,menjorong,I-DESC
22,ke,I-DESC
22,badan,I-DESC
22,jalan,L-DESC
22,sehingga,O
22,membahayakan,O
22,kepada,O
22,masyarakat,O
22,pengendara,O
22,mobil,O
22,di,O
22,jalan,B-LOCATION
22,raya,I-LOCATION
22,ceger,L-LOCATION
22,kecamatan,B-LOCATION
22,cipayung,L-LOCATION
22,jaktim,L-LOCATION
22,.,O
22,terima,O
22,kasih,O
23,mohon,O
23,uang,O
23,dari,O
23,asuransi,O
23,jasaraharja,O
23,yang,O
23,akan,O
23,diberikan,O
23,kepada,O
23,korban,O
23,kecelakaan,O
23,",",O
23,langsung,O
23,ke,O
23,rekening,O
23,atas,O
23,nama,O
23,korban,O
23,kecelakaan,O
23,",",O
23,tidak,O
23,melalui,O
23,perantara,O
23,.,O
24,22,B-TIME
24,oktober,I-TIME
24,2019,L-TIME
24,kepada,O
24,yang,O
24,terhormat,O
24,.,O
