report,label
"mengingat semakin banyaknya pemberitaan di media massa tentang kekerasan seksual pada anak , ini salah satunya adalah akibat dari sistem perekrutan tenaga pendidik yang kurang memiliki pengalaman dalam mendidik anak , ditambah lagi orangtua yang berlomba-lomba mengumpulkan materi . oleh sebab itu sudah selayaknya kementerian pendidikan dan kebudayaan betul-betul menyeleksi calon ptk , karena sudah bukan rahasia lagi setiap ada perekrutan tenaga pendidik selalu ada indikasi main di belakang layar . bagaimana pendidikan di indonesia akan maju jika dalam perekrutan masih ada kkn . guru jangan hanya mengejar materi tanpa peduli moral dan spritual peserta didik . mohon menjadi perhatian .",Crime
"tabe ada tadi keluhan masyarakat tekolabbua ada pohon tumbang yang membahayakan warga di karenakan adanya kabel pln di area sekitar pohon , untuk dinas terkait mohon segera menindak lanjuti",Natural Disaster
mohon bantuannya pak polisi wilayah tanjung priok jakarta utara.. daerah tempat pemukiman saya di warakas gang 21 sudah 2 malam belakangan ini sering terjadi tawuran.. tawuran sudah menggunakan senjata tajam dan bom molotov.. rumah saya sudah terkena sasarannya.. salah satu rolling door saya tersabet senjata tajam .,Crime
"kepada yang terhormat pemerintah provinsi dki jakarta . apalagi yang kurang jelas/lenkap dari laporan terdahulu kalau tidak salah hal dimaksud sudah tiga kali saya laporkan , kita semua sepakat tidak menghendaki ada korban dulu baru bertindak.yang dilaporkan adalah lima pohon tumbuh menjorong ke badan jalan sehingga membahayakan kepada masyarakat pengendara mobil di jalan raya ceger kecamatan cipayung jaktim . terima kasih",Natural Disaster
"mohon uang dari asuransi jasaraharja yang akan diberikan kepada korban kecelakaan , langsung ke rekening atas nama korban kecelakaan , tidak melalui perantara .",Traffic Accident
"22 oktober 2019 kepada yang terhormat . bapak walikota p. siantar lapor pak , disekitar tempat tinggal saya di sekitaran paman saya dekat belakang kebun binatang siantar banyak sekali dari mulai anak smp bahkan sampai pemuda berumur yang pakai dan ketergantungan narkotika, psikotropika, dan obat terlarang . akhirnya keluarga dan masyarakat resah karena kalau mereka sudah tidak ada duit pemakai narkotika, psikotropika, dan obat terlarang itu mencuri ke mana saja , apa saja yang bisa dijual termasuk kejahatan pencurian kendaraan bermotor dengan kekerasan . mohon pak agar ada kordinasi dengan polsek setempat guna razia terkordinir narkotika, psikotropika, dan obat terlarang ini , sudah siaga 1 ini pak karena mewabah ke berbagai skala umur dan kalangan . terima kasih . - peduli anak bangsa -",Crime
"ke pohon-pohon rawan tumbang lainnya di jalan . skanda , kelurahan . lb . siliwangi , kecamatan . coblong , kota bandung , jawa baratkepada dinas perumahan dan kawasan permukiman , pertanahan dan pertamanan kota bandung jawa barat , pasca adanya pohon tumbang di lokasi berikut mohon dice",Natural Disaster
"kepada yang terhormat . pemerintah provinsi dki jakarta prihal bus feeder senen lebak bulus pagi ini . pagi ini saya merasakan sangat lamanya menunggu bus feeder ini , saya menunggu di halte bus deplu ( pejambon ) , saya sampai halte jam 7.40 , jam 8.00 bus feeder datang sudah penuh dan hanya perbolehkan 1 penumpang saja yang naik , saya menunggu lagi , 15 menit kemudian tidak ada bus feeder yang lewat . akhirnya saya memutuskan naik kopaja dengan resiko copet , penumpang di oper seenaknya dan `` ngetem '' semaunya , iya benar saja sampai di cikini saya di oper dan harus menunngu bisnya `` ngetem '' cari penumpang . saya lihat sudah seharusnya rute ini bisnya ditambah karena peminatnya banyak sekali , sehingga bisa minimal bis lewat per 2 atau 3 menit sekali . sekarang semakin susah mendapat bis feeder yang tidak penuh sesak . terima kasih",Crime
"jumat ( 10/1/14 ) yang lalu , karena tidak ada pilihan bus lagi ( karena jumlah bus ac 106 tidak sebanding dengan jumlah calon penumpang ) dan cuaca yang buruk , saya terpaksa naik bus p157 . sudah lama saya menghindari naik bus dengan rute terminal senen - terminal poris p/tangerang itu lantaran meski ongkosnya hanya rp3.500 , bus tersebut jorok dan banyak pengamen serta peminta-mintanya . setelah bus memasuki jalan hasyim ashari , seorang pria datang ke depan . tubuhnya kurus dengan tinggi sedang . kulitnya hitam dan bertato . sayangnya ia bertopi sehingga rambutnya tidak terlihat . ia mulai `` berpidato '' bahwa ia perlu bantuan dan tidak membutuhkan pandangan angkuh dari para penumpang . selesai berpidato , ia mulai mengulurkan tangan kepada penumpang , satu demi satu . rupanya tidak ada yang memberinya uang . dan karena itu , ia menjalankan rencana b-nya . ia kembali `` berpidato '' . kali ini dengan nada marah dan mulai membentak-bentak . selesai berpidato , ia mengulurkan tangan lagi . bedanya , ia memilih penumpang perempuan dan berdiri di depan orang yang ia minta 3-5 menit . `` saya tidak butuh maaf , '' katanya ketus saat perempuan yang dimintai hanya menganggukkan kepala . intimidasi serupa ia pakai terus sampai tiba giliran saya . bagi saya , pengalaman tersebut membuat saya takut sekaligus marah dalam hati . saya takut kalau dia saya lawan , dia akan pakai senjata tajam . saya marah karena perbuatannya adalah bentuk premanisme . caranya meminta dengan berdiri 3-5 menit di hadapan penumpang perempuan serta mencolek-colek jaket yang dimintai sangat intimidatif . dan terus terang , saya tidak sudi memberi uang , meskipun hanya rp500 kepada orang yang tidak mau bekerja secara halal dan bahkan memeras orang lain . melalui laporan ini , saya meminta pemerintah daerah agar dapat berkoordinasi dengan aparat keamanan untuk bertindak tegas , menangkap preman-preman ( anak-anak jalanan ) yang berkeliaran di dalam bus kota , baik itu bus ekonomi maupun bus ac . demi mencapai misi jakarta yang lebih baik dan misi mengajak semua warga jakarta naik transportasi massal . terima kasih .",Crime
terjadi pelecehan seksual di krl commuterline jurusan manggarai-bekasi yang dilakukan oleh seorang pria kepada seorang wanita yang sedang tertidur pada tanggal 22 november 2017 sekitar pukul 20:00 wib sang pelaku pura2 tertidur dengan tangan di tutupi jaket tapi tangany bergerilya ke dada wanita yang sedang tertidur pulas tersebut ... mohon kepada pihak terkait khusus nya pt kai agar menindak dan dicari oknum pelaku nya..saya takut jika ini dibiarkan ini akan menjadi hal yang biasa dan dianggap lumrah,Crime
kepada yang terhormat . pemerintah provinsi dki jakarta . di wilayah jalan karang anyar raya rw 01 dan rw 02 kelurahan karang anyar kecamatan sawah besar jakarta pusat sering terjadi tawuran antar remaja tengah malam akibat minuman keras tolong tindak lanjuti karena menganggu ketertiban umum dan meresahkan masyarakat banyak jangan di biarkan permasalahan ini terima kasih,Crime
"yang terhormat . pemerintah provinsi dki jakarta saya ingin melaporkan perihal banjir yang terjadi pada tanggal 23 januari 2015 pukul 05:00 di jalan perdamaian rt 01 rw 017 kelurahan tugu utara . banjir yang saya alami cukup tinggi daripada biasanya dan saya menduga ini adalah dampak dari peninggian jalan mahoni dan tidak beresnya pengerjaan perbaikan drainase di jalan tersebut . saya mohon pemerintah provinsi dki jakarta melakukan audit terhadap kontraktor yang melakukan perbaikan djalan dan drainase di jalan mahoni kelurahan tugu utara karena pengerjaan perbaikan jalan dan drainasenya sangat asal2an dan tidak rapi sehingga bukannya mengurangi banjir tapi membuat banjir di pemukiman warga semakin tinggi . dan saya meminta dengan sangat jajaran pejabat pemerintah provinsi dki jakarta terutama untuk turun langsung melihat kondisi jalan dan drainase tersebut karena kondisi drainase yang sudah diperbaiki itu sangat berantakan dan tidak beres dalam pengerjaannya . dan mohon pihak dinas pekerjaan umum pemerintah provinsi dki jakarta untuk melakukan perbaikan ulang drainse dan jalan di jalan mahoni kelurahan tugu utara karena kontraktor terdahulu tidak beres dalam pengerjaan perbaikannya dan saya mohon dengan sangat pihak pemerintah provinsi dki jakarta untuk instruksikan walikota jakarta utara untuk menyediakan pompa air pengendali banjir di kelurahan tugu utara terutama di jalan perdamaian rt 011 rw 017 karena banjir dikawasan tersebut sangat parah dan lamban surut . selain itu saya juga meminta pak ahok untuk lakukan sidak ke kantor kelurahan tugu utara karena pihak aparat kelurahan tugu utara tidak responsif dalam menanggulangi banjir . saat terjadi banjir , lurah tugu utara sama sekali tidak mau menyediakan bantuan kepada warga kelurahan tugu utara yang terkena banjir padahal di daerah kelurahan tugu utara banyak sekali anak balita yang sangat membutuhkan bantuan terutama makanan karena bila banjir , warga yang berada disana terisolisir dan tidak dapat membeli bahan makanan . makadari itu saya mohon dengan sangat pemerintah provinsi dki jakarta sgera mengirimkan bantuan dapur umum ke kelurahan tugu utara untuk membantu warga yang terisolisir karena banjir tinggi . warga sudah muak dengan lurah tugu utara yang abai dan tidak merespon kebutuhan warga yang terkena banjir . tidak ada aparat kelurahan yang memberikan bantuan kepada warga yang terkena banjir . padahal saat ini warga kelurahan tugu utara sangat membutuhkan bantuan berupa makanan layak konsumsi , air bersih dan pompa pengendali banjir untuk surutkan banjir di jalan perdamaian rt 01 rw 017. saya harap pemerintah provinsi dki jakarta sgera mrespon permintaan saya ini . semoga pak ahok mau mendengarkan permintaan saya ini .",Natural Disaster
yang terhormat . pemerintah provinsi dki jakarta . saya ingin melaporkan hari ini ada murid sdn 05 pagi kelurahan . penggilingan kecamatan . cakung a/n aryo telah di pukuli guru yang bernama pak karsa . mohon ada tindakan agar tidak terjadi lagi kekerasan terhadap murid . terima kasih,Crime
"mohon di tebang pohon randu ( kapuk ) pinggir jalan , karena dampak dilakukan program pembangunan saluran pembuangan air/got yang berada tepat di sebelah pohon , sehingga sebagian besar akar dipotong ... karena pohon sangat besar dan tinggi , kemudian mengingat kondisi cuaca ekstreme yang akhir-akhir ini terjadi , dikhawatirkan pohon tumbang karena penopang ( akar ) sudah tidak kuat lagi menahan terpaan angin.. lokasi pohon berada tepat di depan rumah saya , dsn . krajan , rt:03/rw:02 , ds . kemuning lor , kecamatan . arjasa ... mohon segera ditindak lanjuti dan terima kasih ... .",Natural Disaster
yang terhormat . pemerintah dki jakarta jalan raya tugu persis didepen sman 52 kelurahan semper barat jakarta utara macet karena ada pohon tumbang dan kabel listrik dijalanan takut membahayakan pemakai jalan . terima kasih,Natural Disaster
"izin melapor.saya sudah 3 tahun mengantar barang menuju tambang bre rantau ( kabupaten . tapin ) kalsel . gak pernah adanya pungutan liar.sebulan terakhir ini saya selalu di jegat preman jika mengantar barang melewati jalan . trantang kecamatan lokpaikat kabupaten tapin ( kalimantan selatan ) .mereka selalu meminta bayaran , bukan hanya satu bahkan sampai lima orang.jika tidak di kasih jalan di blokade mereka , tidak di kasih lewat jalan situ . bahkan sampai pelemparan kaca mobil kita..itu merupakan jalur satu satunya yang bisa kita lewati pas ngantar barang.tolong kepada polres kabupaten . tapin supaya menindak lanjutinya..ataupun polsek kecamatan lokpaikat dapat menindak lanjutinya..demi keamanan di jalan .",Crime
"kepada yang terhormat . pemerintah provinsi dki jakarta , saya ingin melaporkan banjir yang selalu melanda rw . 01 , rw . 08 , dan rw 10 kelurahan kalibata kecamatan pancoran , jakarta selatan . hal ini terjadi karena lokasi rw tersebut terletak di tempat yang lebih rendah , bila hujan turun akan terjadi banjir . mohon agar dinas terkait bisa mencarikan solusi agar lokasi tersebut tidak banjir , terima kasih .",Natural Disaster
"hai , saya ingin menyampai kan ada beberapa titik sepanjang jalan dr. satrio - jakarta , ( depan tokopedia tower , depan pom bensin shell , dan seterusnya ) dimana ada titik asli tetapi palsu yang terus bolong di sebab kan pipa saluran air jalan layang non tol di satrio yang bocor sejak di resmikan hingga hari ini , sehinggasetiap waktu hujan tetesan air dari pipah saluran yang bocor itu merusak asli tetapi palsu di bawahnya . alangkah baiknya bila saluran itu semua di inspeksi dan di perbaiki supaya tidak merusak asli tetapi palsu di bawahnya agat menghemat waktu dan biaya sekaligus tidak memakan korban kecelakaan pengendata motor akibat lobang asli tetapi palsu yang sering muncul di kala musim hujan itu . terima kasih , mohon laporan ini agar dapat segera di tanggapi .",Traffic Accident
"pohon tumbang mengganggu lalu lintas , kami sudah melapor ke kelurahan bendungan hilir tapi tidak ditanggapi . bowo jakarta baru .",Natural Disaster
"laporhendy aduan # $ 0a # $ 0a selamat sore , saya atas nama maria margaretha ingin mengadu masalah banjir , sekarang sudah musim hujan , dan hujannya sangat deras yang mengakibatkan kebanyakan sungai di daerah bawa meluap dan menimbulkan banjir , di sini memberikan ketidak nyamanan pada penduduk sekitar termasuk saya , karena saya , saya mengusulkan supaya pemerintah menghimbau para warga lebih ketat lagi agar tidak membuang sampah sembarangan dan perbanyak reboisasi untuk kenyamanan lingkungan , karena sekarang sudah banyak bencana alam yang terjadi # $ 0a # $ 0aterimakasih",Natural Disaster
"admin , minta bantuan dan kerjasamanya untuk menebang pohon yang terletak di jalan . zahlul st kebesaran kelurahan aro iv korong , sehubungan kondisi cuaca tidak menentu dan dibawah pohon tersebut terdapat kabel-kabel aliran listrik ... .",Natural Disaster
"pohon tumbang pada hari jumat kemarin di jalan wr supratman bandung.sebrang pom bensin , dpn kantor big tv , sekarang tersisa berapa batang pohon yang mencondong ke area parkiran , di hawatirkan tumbang kembali dan menimpa karyawan atau krndaraan yang sedang di parkir , mohon penanggulangan secepatnya untuk merapihkan dahan pohon tersebut",Natural Disaster
"tolong pak , saya sudah berusaha semaksimal mungkin untuk baik kepada ibu saya , memberinya uang untuk kehidupan sehari2 , tapi uangnya bahkan selalu dipake untuk kebutuhan lain , jika tidak ada uang untuk makan , dia akan protes , marah2 , lalu melakukan kekerasan fisik kepada kakak perempuan saya . saya posisi dijateng bersama bapa saya , sementara kakak , ibu , dan adik dibekasi . dibekasi ini masalahanya , ibu saya itu pengangguran , tapi selalu menuntut lebih dalam masalah uang dan tidak pernah merasa cukup , akhirnya kakak saya jadi korban pelampiasan kekerasan ibu saya , ini sudah terjadi bertahun2 semenjak orangtua saya bercerai .",Crime
"terjadi banjir , minggu , 4 oktober 2020 , di komplek vila norin dan sekitarnya rt 01/04 ciganjur , cipedak , jagakarsa , jakarta selatan . banjir terjadi karena hujan deras , kondisi letaknya di daerah rendah . dari 2012 s/d 2018 banjir tidak sebesar sekarang ini . salah satunya penyebabnya peninggian tanggul sepanjang sungai , yang jika di timbang setara tinggi banjir . drainase yang kurang baik . mohon bantuan penanganan atau perbaikan drainase . solusi yang diusulkan : pendalaman sungai , dibuatkan overflow sungai didinding tanggul yang diarahkan secara baik , perbaikan drainase dengan menggunakan u-dit / gorong-gorong cor . demikian , atas perhatiannya , terima kasih",Natural Disaster
kejadian di jalan . amir hamzah - karang sukun ( sebelah barat kantor jne karang sukun ) ada kabel pln yang kemungkinan akan membahayakan sekitarnya .,Natural Disaster
"assalamualaikum , pak ridwan kamil.. , kemarin malam sekitar jam 18.30 saya pulang kerja lewat stopan gudang utara . ketika saya berada di stopan , tiba2 ada ibu2 seperti pengemis , memukul kakak saya menggunakan batu besar , lalu kami terkejut karena si ibu tiba2 datang dari belakang memukul tangan dengan keras , hingga tangan kakak saya bengkak . saya mohon bapak untuk memperhatikan pengemis2 yang ada di stopan , kalau bisa jangan ada pengemis di stopan . terima kasih .",Crime
kepada bapak presiden ri saya meminta agar gamology game dan game yang berbau kekerasan yang ada di indonesia semuanya di blokir supaya generasi muda indonesia tidak tercemar dari hal hal yang berbau kekerasan . terima kasih kasih.onesia tidak tercemar dari hal hal yang berbau kekerasan . terima kasih kasih.largest maine lobsterkepada bapak presiden ri saya meminta agar gamology game dan game yang berbau kekerasan yang ada di indonesia semuanya di blokir supaya generasi muda indonesia tidak tercemar dari hal hal yang berbau kekerasan . terima kasih kasih.kepada bapak presiden ri saya meminta agar gamology game dan game yang berbau kekerasan yang ada di indonesia semuanya di blokir supaya generasi muda indonesia tidak tercemar dari hal hal yang berbau kekerasan . terima kasih kasih.onesia tidak tercemar dari hal hal yang berbau kekerasan . terima kasih kasih .,Crime
"bersama ini kami laporkan , sehubungan dengan terjadinya aksi kekerasan ( penembakan ) pada tanggal 15 maret 2016 , terhadap 4 karyawan pt . modern widya technical yang sedang mengerjakan pembangunan jalan di kampung agenggeng , distrik sinak , kabupaten puncak , papua yang mengakibatkan meninggalnya 3 orang karyawan tersebut . dengan telah terjadinya aksi kekerasan ( penembakan ) di distrik sinak , kabupaten puncak , papua , tanggal 15 maret 2016 tersebut , menjadi kesekian kalinya aksi kekerasan yang telah dialami anggota aki ( sebelumnya juga terjadi di pulau nias tahun 2008 yang mengakibatkan kontraktor harus hengkang tidak bisa menyelesaikan pekerjaannya akibat gangguan keamanan yang sangat parah di proyek tersebut ) , telah merusak komitmen bersama para stakeholder pembangunan infrastruktur di indonesia . anggota kami pt modern widya tehnical jelas-jelas sedang bekerja membangun infrastruktur di daerah pedalaman , dengan meninggalkan anak dan istri di kampung halaman asal mereka namun pada akhirnya mereka harus pulang tinggal nama , akibat ditembak harus meninggal oleh kelompok sipil bersenjata di kabupaten puncak , papua . kejadian ini sangat mengangetkan aki , disaat semua pihak dituntut berkomitmen penuh membangun infrastruktur , sementara ada pihak yang sengaja menganggu jalannya pembangunan di daerah . sekali lagi aki dan anggotanya tetap berkomitmen untuk membangun infrastruktur di manapun , namun kami butuh kepastian hukum dan keselamatan jiwa di tempat kami bekerja . untuk itu , mohon perlindungan kepada pemerintah atas keselamatan dan keamanan jiwa anggota aki yang bekerja di daerah rawan keamanan .",Crime
"jalan raya dari depan kantor kelurahan antirogo , jember , sampai depan kantor kecamatan pakusari , jember , rusak parah . padahal selalu dilewati kendaraan kecil maupun besar , juga dilewati oleh pejabat daerah baik desa maupun kecamatan , namun belum ada perbaikan sampai saat ini . mohon kiranya ditindak lanjuti sebelum ada korban kecelakaan .",Traffic Accident
"saya ingin melaporkan bahwa di daerah kami riau dan sekitar nya , kabut sesegera mungkin sudah sangat parah , sudah banyak korban akibat sesegera mungkin , anak-anak tidak bisa sekolah , aktifitas terganggu , kesehatan kami menurun , tolong penanggulangan secepatnya dari pemerintah .",Fire
lapor ada pohon tumbang didaerah kerawak ... mohon segera ditindaklanjuti ... .trima kasih,Natural Disaster
"pak presiden , sehubungan dengan bencana alam di lombok dimana banyak desa yang hancur , bagaimana jika dana desa dikonsentrasikan untuk membantu saudara-saudara kita di lombok dan apabila besok-besok ada dana desa , kita bisa manfaatkan dana itu untuk kemanusiaan",Natural Disaster
"jalan yang ada di sekitar tambak osowilangun atau sekitar terminal osowilangun sangat parah rusaknya , banyak jalan-jalan yang berlubang besar dan sangat berbahaya , dan saya adalah salah satu korban kecelakaan di jalan itu ... untuk itu saya mohon kepada pihak yang terkait untuk memperbaiki jalan yang rusak parah itu",Traffic Accident
mohon untuk ditindak yang menyebarkan dan yang ada divideo ini karena ada tindakan kekerasan,Crime
